split,sample_id,content,label,data_origin,student_model,student_p0,student_p1,student_pred,student_confidence,student_agree_label,error_type
train,train_00036,Tham gia group vui vẻ trên Discord: discord.gg/hntinhnghich,1,paraphrased,g2_bilstm_hard,0.9464553,0.053544726,0,0.9464553,False,FN
train,train_00047,Đơn hàng số SPX2024112567890 của bạn đã đến kho nhưng không thể giao do địa chỉ không đầy đủ. Cập nhật https://vietteltelecomshop.cfd/,1,real,g2_bilstm_hard,0.5095478,0.4904522,0,0.5095478,False,FN
train,train_00098,[Phong Lao dong Thuong binh Xa hoi] He thong da ghi nhan don khieu nai cua Pham Thi Huong ma so 1234/CV-CT. Vui long goi lai de cap nhat trang thai xu ly.,1,synthetic_hard_positive,g2_bilstm_hard,0.71215093,0.28784904,0,0.71215093,False,FN
train,train_00223,"A goi vao so 1900788938 de noi chuyen va tam su voi em nhe. A goi luon cho em nha, Em co viec, A khong goi khong duoc dau nha!",1,real,g2_bilstm_hard,0.8918904,0.10810957,0,0.8918904,False,FN
train,train_00463,"{DAT} M/tjen du0ng ket n0i SĂN.BAY LT ,ke ben Khu CNC, KDL, T/T0an tu 129 Tr/nen. CK 18%.T/toan 18 thang. SHR, XD ngay.LH: 0937 70 4636 / ik,Er",1,real,g2_bilstm_hard,0.60173035,0.39826962,0,0.60173035,False,FN
train,train_00541,[So Tu Phap] Thong bao: Ho so thue TNCN cua Le Van Thanh nam 2024 can dieu chinh. Vui long goi 18006699 de biet chi tiet va tranh phat.,1,synthetic_hard_positive,g2_bilstm_hard,0.51142436,0.48857564,0,0.51142436,False,FN
train,train_00586,"[Thông báo] Hội thảo trực tuyến ""Không trúng tuyển nguyện vọng yêu thích? Biến nguy thành cơ"" với sự tham gia của các khách mời, chuyên gia tâm lý đến từ nhiều trường đại học đang diễn ra. Để không bỏ lỡ cơ hội được tham dự, lắng nghe và đặt câu hỏi trực tiếp cho các chuyên gia, mời quý phụ huynh & thí sinh truy cập liên kết: https://us02web.zoom.us/j/81558445815. Hotline: (028) 7300 5588",1,real,g2_bilstm_hard,0.6367806,0.36321935,0,0.6367806,False,FN
train,train_00699,"Viettel: Thue bao 0978123456 dang hoat dong bat thuong. De bao ve tai khoan, vui long goi 0899001122 de doi SIM moi bao mat hoan toan mien phi.",1,synthetic_hard_positive,g2_bilstm_hard,0.59359086,0.40640914,0,0.59359086,False,FN
train,train_00788,ACB: Tran trong thong bao.Tai khoan cua quy khach hien tai da bi khoa.Dang nhap https://online.avbnyt45k.com de xac thuc ngay hom nay.,0,real,g2_bilstm_hard,0.15859848,0.8414015,1,0.8414015,False,FP
train,train_00883,"LENH TRUY NA: Can cu tai lieu thu thap duoc, ngay 09/03/2022 Co quan canh sat dieu tra Cong An chi thuc TRUY NA ONG/BA va DONG PHAM ve hanh vi LUA DAO, CAU KET, CHIEM DOAT TAI SAN. NOI TRONG 48H TOI Doi Tuong khong tu giac trinh dien se tien hanh Chuyen giao Khoan Vay cho C0NG TY DOI N0 THUE",1,real,g2_bilstm_hard,0.9701836,0.029816383,0,0.9701836,False,FN
train,train_01163,Bao hiem Xa hoi: He thong phat hien QK co 3 nam dong BHXH chua duoc tinh luong huu. Goi so BH-LD/2025/001 de duoc dieu chinh va nhan tien bu.,1,synthetic_hard_positive,g2_bilstm_hard,0.7904048,0.20959519,0,0.7904048,False,FN
