source_dataset,source_file,source_row_id,split,original,normalized,content,label,has_url,has_phone_number,sender_type,category,obfuscation_level,data_origin,external_source_type,text_variant_type,candidate_type,hard_case_type,review_status,filter_reason,reject_reason,flags
vilexnorm,data/external/vilexnorm/raw/train.csv,1195,train,nè cái này hay hơn mấy truyện m gt t đọc á,nè cái này hay hơn mấy truyện mày giới thiệu tao đọc á,nè cái này hay hơn mấy truyện m gt t đọc á,0,0,0,personal_number,P2P hội thoại thông thường,NONE,external_real,vilexnorm_clean_p2p,abbreviation,clean_p2p,,auto_pass,no_risk_flags,,has_abbreviation
vilexnorm,data/external/vilexnorm/raw/train.csv,2297,train,"Nhiều ng nghĩ việc ăn 1 mình hoặc xem phim 1 mình dị vs cô đơn lắm, nhưng họ ko hiểu ng hướng nội chúng tôi rất cần những khoảnh khắc như vậy","Nhiều người nghĩ việc ăn 1 mình hoặc xem phim 1 mình vậy với cô đơn lắm, nhưng họ không hiểu người hướng nội chúng tôi rất cần những khoảnh khắc như vậy","Nhiều ng nghĩ việc ăn 1 mình hoặc xem phim 1 mình dị vs cô đơn lắm, nhưng họ ko hiểu ng hướng nội chúng tôi rất cần những khoảnh khắc như vậy",0,0,0,personal_number,P2P hội thoại thông thường,NONE,external_real,vilexnorm_clean_p2p,teencode;abbreviation,clean_p2p,,auto_pass,no_risk_flags,,has_abbreviation;has_teencode
vilexnorm,data/external/vilexnorm/raw/test.csv,784,test,Tôi muốn đc ăn măng cụt chín ạ,Tôi muốn được ăn măng cụt chín ạ,Tôi muốn đc ăn măng cụt chín ạ,0,0,0,personal_number,P2P hội thoại thông thường,NONE,external_real,vilexnorm_clean_p2p,abbreviation,clean_p2p,,auto_pass,no_risk_flags,,has_abbreviation
vilexnorm,data/external/vilexnorm/raw/train.csv,5884,train,Moé thằng Kiên ngu này :)),Má thằng Kiên ngu này :)),Moé thằng Kiên ngu này :)),0,0,0,personal_number,P2P hội thoại thông thường,NONE,external_real,vilexnorm_clean_p2p,slang,clean_p2p,,auto_pass,no_risk_flags,,has_slang
vilexnorm,data/external/vilexnorm/raw/dev.csv,32,dev,hai cô géi lựa đồ ăn trưa từ 12h đến 4h chìu,hai cô gái lựa đồ ăn trưa từ 12h đến 4h chiều,hai cô géi lựa đồ ăn trưa từ 12h đến 4h chìu,0,0,0,personal_number,P2P hội thoại thông thường,NONE,external_real,vilexnorm_clean_p2p,standard_or_unknown,clean_p2p,,auto_pass,no_risk_flags,,
vilexnorm,data/external/vilexnorm/raw/train.csv,5686,train,"Đã thích miếng thịt thì tia ngay miếng đó, sau đó cbi cho cơm vào mồm thì chộp cái cho vào bát, chuẩn xác có phải đỡ bị soi k :))), ngồi ăn mà bà nào bới bới chọc chọc là k muốn đụng đũa luôn rồi","Đã thích miếng thịt thì tia ngay miếng đó, sau đó chuẩn bị cho cơm vào mồm thì chộp cái cho vào bát, chuẩn xác có phải đỡ bị soi không :))), ngồi ăn mà bà nào bới bới chọc chọc là không muốn đụng đũa luôn rồi","Đã thích miếng thịt thì tia ngay miếng đó, sau đó cbi cho cơm vào mồm thì chộp cái cho vào bát, chuẩn xác có phải đỡ bị soi k :))), ngồi ăn mà bà nào bới bới chọc chọc là k muốn đụng đũa luôn rồi",0,0,0,personal_number,P2P hội thoại thông thường,NONE,external_real,vilexnorm_clean_p2p,teencode,clean_p2p,,auto_pass,no_risk_flags,,has_teencode
vilexnorm,data/external/vilexnorm/raw/dev.csv,540,dev,"T thích ng đẹp trai, nên chỉ cần đẹp trai là t quẹt phải","Tôi thích người đẹp trai, nên chỉ cần đẹp trai là tôi quẹt phải","T thích ng đẹp trai, nên chỉ cần đẹp trai là t quẹt phải",0,0,0,personal_number,P2P hội thoại thông thường,NONE,external_real,vilexnorm_clean_p2p,abbreviation,clean_p2p,,auto_pass,no_risk_flags,,has_abbreviation
vilexnorm,data/external/vilexnorm/raw/train.csv,6303,train,Giải thích qtr dễ hiểu,Giải thích quá trời dễ hiểu,Giải thích qtr dễ hiểu,0,0,0,personal_number,P2P hội thoại thông thường,NONE,external_real,vilexnorm_clean_p2p,standard_or_unknown,clean_p2p,,auto_pass,no_risk_flags,,
vilexnorm,data/external/vilexnorm/raw/train.csv,8211,train,Sự thật là mông pồ của bạn luôn cong hơn mông bạn :))),Sự thật là mông bồ của bạn luôn cong hơn mông bạn :))),Sự thật là mông pồ của bạn luôn cong hơn mông bạn :))),0,0,0,personal_number,P2P hội thoại thông thường,NONE,external_real,vilexnorm_clean_p2p,standard_or_unknown,clean_p2p,,auto_pass,no_risk_flags,,
vilexnorm,data/external/vilexnorm/raw/train.csv,504,train,khó chịu chung với t đi :)),khó chịu chung với tôi đi :)),khó chịu chung với t đi :)),0,0,0,personal_number,P2P hội thoại thông thường,NONE,external_real,vilexnorm_clean_p2p,abbreviation,clean_p2p,,auto_pass,no_risk_flags,,has_abbreviation
vilexnorm,data/external/vilexnorm/raw/train.csv,282,train,Xin màu nào cực chiến nma dành cho cool tone ạkk,Xin màu nào cực chiến nhưng mà dành cho cool tone ạ,Xin màu nào cực chiến nma dành cho cool tone ạkk,0,0,0,personal_number,P2P hội thoại thông thường,NONE,external_real,vilexnorm_clean_p2p,standard_or_unknown,clean_p2p,,auto_pass,no_risk_flags,,
vilexnorm,data/external/vilexnorm/raw/train.csv,7030,train,giọng cười i trang t:)),giọng cười y chang tôi:)),giọng cười i trang t:)),0,0,0,personal_number,P2P hội thoại thông thường,NONE,external_real,vilexnorm_clean_p2p,standard_or_unknown,clean_p2p,,auto_pass,no_risk_flags,,
vilexnorm,data/external/vilexnorm/raw/train.csv,3618,train,Câu chiện tình dã man...,Câu chuyện tình dã man...,Câu chiện tình dã man...,0,0,0,personal_number,P2P hội thoại thông thường,NONE,external_real,vilexnorm_clean_p2p,standard_or_unknown,clean_p2p,,auto_pass,no_risk_flags,,
vilexnorm,data/external/vilexnorm/raw/train.csv,1173,train,Đại hội moto ở Phan Thiết mà,Đại hội mô tô ở Phan Thiết mà,Đại hội moto ở Phan Thiết mà,0,0,0,personal_number,P2P hội thoại thông thường,NONE,external_real,vilexnorm_clean_p2p,dialectal_variant,clean_p2p,,auto_pass,no_risk_flags,,has_dialectal_variant
vilexnorm,data/external/vilexnorm/raw/train.csv,6449,train,"ủa sao em chơi ác dị, sao em nở lòng đăng lên cho mậu ngừ thấy dị","ủa sao em chơi ác vậy, sao em nỡ lòng đăng lên cho mọi người thấy vậy","ủa sao em chơi ác dị, sao em nở lòng đăng lên cho mậu ngừ thấy dị",0,0,0,personal_number,P2P hội thoại thông thường,NONE,external_real,vilexnorm_clean_p2p,standard_or_unknown,clean_p2p,,auto_pass,no_risk_flags,,
vilexnorm,data/external/vilexnorm/raw/train.csv,4933,train,"Nhớ thì trả ko thì cho luôn, khỏi đòi","Nhớ thì trả không thì cho luôn, khỏi đòi","Nhớ thì trả ko thì cho luôn, khỏi đòi",0,0,0,personal_number,P2P hội thoại thông thường,NONE,external_real,vilexnorm_clean_p2p,teencode,clean_p2p,,auto_pass,no_risk_flags,,has_teencode
vilexnorm,data/external/vilexnorm/raw/train.csv,2850,train,Đây là cái snhat thứ 2 của chó nhà mình,Đây là cái sinh nhật thứ 2 của chó nhà mình,Đây là cái snhat thứ 2 của chó nhà mình,0,0,0,personal_number,P2P hội thoại thông thường,NONE,external_real,vilexnorm_clean_p2p,standard_or_unknown,clean_p2p,,auto_pass,no_risk_flags,,
vilexnorm,data/external/vilexnorm/raw/train.csv,2942,train,xin lũi nhưng toi phải tag bạn :)),xin lỗi nhưng tôi phải tag bạn :)),xin lũi nhưng toi phải tag bạn :)),0,0,0,personal_number,P2P hội thoại thông thường,NONE,external_real,vilexnorm_clean_p2p,standard_or_unknown,clean_p2p,,auto_pass,no_risk_flags,,
vilexnorm,data/external/vilexnorm/raw/dev.csv,491,dev,nhg 2$ vn= 2h làm 2$ của nó bằng 1 phần bao nhiêu/h k dám so luôn,nhưng 2$ vn= 2h làm 2$ của nó bằng 1 phần bao nhiêu/h không dám so luôn,nhg 2$ vn= 2h làm 2$ của nó bằng 1 phần bao nhiêu/h k dám so luôn,0,0,0,personal_number,P2P hội thoại thông thường,NONE,external_real,vilexnorm_clean_p2p,teencode,clean_p2p,,auto_pass,no_risk_flags,,has_teencode
vilexnorm,data/external/vilexnorm/raw/train.csv,1261,train,"Nếu mà với cách hàng xử ntn,để con ntn sớm muộn gì cũng phải gặp Diêm Vương thôi","Nếu mà với cách hành xử ntn,để con ntn sớm muộn gì cũng phải gặp Diêm Vương thôi","Nếu mà với cách hàng xử ntn,để con ntn sớm muộn gì cũng phải gặp Diêm Vương thôi",0,0,0,personal_number,P2P hội thoại thông thường,NONE,external_real,vilexnorm_clean_p2p,standard_or_unknown,clean_p2p,,auto_pass,no_risk_flags,,
vilexnorm,data/external/vilexnorm/raw/train.csv,1207,train,ê nma sao nó tan nhanh quá à xài có tuần là mún hết ròi,ê nhưng mà sao nó tan nhanh quá à xài có tuần là muốn hết rồi,ê nma sao nó tan nhanh quá à xài có tuần là mún hết ròi,0,0,0,personal_number,P2P hội thoại thông thường,NONE,external_real,vilexnorm_clean_p2p,teencode,clean_p2p,,auto_pass,no_risk_flags,,has_teencode
