sample_id,content,disagreement_types,annotator_a_domain,annotator_b_domain,mistral_domain,annotator_a_obfuscation_present,annotator_b_obfuscation_present,mistral_obfuscation_present,annotator_a_requested_actions,annotator_b_requested_actions,mistral_requested_actions,final_domain,final_obfuscation_present,final_requested_actions,adjudicator_notes
phase1_00109,"[TB] CHỈ 5K, CÓ DATA SIÊU TỐC! Soạn ST5K gửi 191: Chỉ 5.000đ/ngày có ngay 500MB tốc độ cao sử dụng đến 24h. Gói cước gia hạn hàng ngày. ĐẶC BIỆT: TẶNG THÊM 500MB khi mua lần thứ 2 trong ngày. LH 198 (0đ).",message_domain|requested_actions,telecom,marketing_promotion,telecom,False,False,False,reply_message|call_phone,none,reply_message|call_phone,telecom,False,reply_message|call_phone,annotator_b cute
phase1_00132,"(QC) MKTAMDUC gui tang khach hang Uu Dai Sinh Nhat trong thang 2 ma ""SN02"" giam gia -49% 01 san pham Gong, Kinh mat.  CT: https://mktd.vn/sinhnhat .HSD 28/02. De tu choi QC, Soan TC MKTAMDUC gui 1313",message_domain|requested_actions,commerce,marketing_promotion,commerce,False,False,False,click_or_visit_link|reply_message,click_or_visit_link,click_or_visit_link|reply_message,commerce,False,click_or_visit_link|reply_message,
phase1_00709,"The Visa 452404...6779 su dung tai 2C2*AMAZON PRIME VIDEO VN6717 2333 SG so tien 13,608 VND luc 17-12-2022 17:37:45. SD TK trich no tam tinh 1033311702: 486,392VND",message_domain|requested_actions,banking_finance,other,banking_finance,False,False,False,none,other,none,banking_finance,False,none,
phase1_00718,Ok e .Đem luôn ao sưa dum c nha,requested_actions,personal_social,personal_social,personal_social,False,False,False,none,visit_physical_location,none,personal_social,False,none,
phase1_00825,"[TB] Soan F70 gui 191: 70.000d/30 ngay co 3GB, mien phi 10p/cuoc noi mang, 20p ngoai mang. Goi cuoc gia han sau 30 ngay. CT ap dung den 14/09. LH 198 (0d).",message_domain|requested_actions,telecom,marketing_promotion,telecom,False,False,False,reply_message,make_payment,reply_message|call_phone,telecom,False,reply_message,
phase1_01146,"[QC] Quy khach co 5700 diem tieu dung Viettel++ tinh den het ngay 02/08/2020. Bam goi *098# hoac truy cap ung dung MyViettel tai https://viettel.vn/app (muc Viettel++) de doi diem thanh Data, phut goi, SMS hoac cac uu dai gia tri khac. LH 198 (0d). Tu choi QC, soan HUY gui 9000.",requested_actions,telecom,telecom,telecom,False,False,False,call_phone|click_or_visit_link|reply_message,click_or_visit_link,click_or_visit_link|call_phone|reply_message,telecom,False,call_phone|click_or_visit_link|reply_message,
phase1_01191,(TB) TẶNG 50% TRÊN APP MYVNPT! VinaPhone tặng Quý khách 50% khi nạp tiền điện thoại bằng hình thức trực tiếp DUY NHẤT trên ứng dụng My VNPT trong hôm nay 14/9/2025 tại: https://my.vnpt.com.vn/adv/napdt . Khuyến mãi được sử dụng gọi và nhắn tin trong 15 ngày. CSKH:18001091 (0đ).,requested_actions,telecom,telecom,telecom,False,False,False,click_or_visit_link|call_phone,click_or_visit_link|deposit_or_top_up,click_or_visit_link,telecom,False,click_or_visit_link|call_phone,
phase1_01509,"(TB) Chúc mừng năm mới Giáp Thìn 2024! Người dân chủ động sắp xếp thời gian trở lại nơi làm việc và sinh sống tại các thành phố lớn, tránh tình trạng ùn tắc giao thông vào cuối dịp nghỉ lễ, tuyệt đối không điều khiển phương tiện khi đã sử dụng rượu, bia.",requested_actions,public_service,public_service,public_service,False,False,False,other,none,none,public_service,False,other,
phase1_01518,"(TB) Để phòng ngừa cháy, nổ trong dịp Tết Nguyên Đán, Công an tỉnh khuyến cáo: Không sắp xếp hàng hóa, vật dụng gần nguồn lửa, nguồn nhiệt và lấn chiếm lối đi; Trông coi khi đun nấu, thắp hương, đốt vàng mã, cỏ rác; Tắt thiết bị điện, khóa van gas khi không sử dụng; Mở lối thoát hiểm thứ hai, chuẩn bị phương án thoát nạn và các phương tiện chữa cháy; Tham gia “Tổ liên gia an toàn PCCC”; Khi có sự cố cháy, nổ gọi ngay 114 hoặc sử dụng App “Báo cháy 114”.",requested_actions,public_service,public_service,public_service,False,False,False,call_phone|install_application|other,call_phone|install_application,click_or_visit_link|call_phone,public_service,False,call_phone|install_application|other,
phase1_01600,(TB) Quy Khach da huy thanh cong goi MI_D7 trên app My VNPT. Thong tin chi tiet truy cap My VNPT http://onelink.to/v58hh4 hoac lien he 18001091,requested_actions,telecom,telecom,telecom,False,False,False,click_or_visit_link|call_phone,click_or_visit_link,click_or_visit_link|call_phone,telecom,False,click_or_visit_link|call_phone,
phase1_01719,OTP cua Quy Khach la: 20666970. Ma xac thuc giao dich tren vi co hieu luc trong vong 2 phut. QK TUYET DOI khong cung cap OTP cho nguoi khac tranh bi lua dao!,message_domain,banking_finance,other,banking_finance,False,False,False,none,none,none,banking_finance,False,none,
phase1_01772,"Hưởng ứng Ngày Pháp luật nước Cộng hòa xã hội chủ nghĩa Việt Nam 09/11, toàn dân nâng cao ý thức tôn trọng, tuân theo Hiến pháp và pháp luật.",message_domain,public_service,other,public_service,False,False,False,none,none,none,public_service,False,none,
phase1_01928,"[QC] DATA LƯỚT MẠNG CẢ NGÀY. Soạn GIC70N gửi 191: Chỉ 70K/30 ngày, có 1GB/ngày, nghe toàn bộ nội dung sách nói Mydio. DV gia hạn sau 30 ngày.  Lưu ý: CT dành riêng cho thuê bao từ 6-22 tuổi đang sử dụng gói cước GIC của Viettel. Để chuyển đổi sang gói cước GIC, soạn GIC gửi 195. LH 198 (0đ). Từ chối QC, soạn TC4 gửi 199.",requested_actions,telecom,telecom,telecom,False,False,False,reply_message,make_payment,reply_message|click_or_visit_link,telecom,False,reply_message,
phase1_01954,"Viettel thong bao: Quy khach da duoc lap hoa don so K25TVA2611398, ngay lap 14/09/2025, so tien 0 VND. Quy khach co the tra cuu hoa don dien tu tai http://www.vietteltelecom.vn/hdbh theo ma so bi mat 5HK2M9SZP5.",requested_actions,telecom,telecom,telecom,False,False,False,click_or_visit_link,none,click_or_visit_link,telecom,False,click_or_visit_link,
phase1_02142,(TB) Chốt ngay - Quà tới tay! Quý khách nhận được tin nhắn có ngay 20% giá trị thẻ nạp trong NGÀY MAI 17/6/2025. Khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày. Thêm ưu đãi hời khi nạp thẻ tại https://my.vnpt.com.vn/adv/napthe .  CSKH: 18001091 (0đ).,message_domain|requested_actions,telecom,marketing_promotion,telecom,False,False,False,click_or_visit_link|call_phone,click_or_visit_link|deposit_or_top_up,click_or_visit_link|make_payment,telecom,False,click_or_visit_link|call_phone,
phase1_02300,"(TB) Chúc mừng đội tuyển VIỆT NAM VÔ ĐỊCH ASEAN CUP 2024, VinaPhone tặng riêng Quý khách 20% giá trị thẻ nạp vào NGÀY MAI 07/1/2025 (khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày). Cơ hội trúng iPhone 16 Pro Max và hàng ngàn giải thưởng tổng trị giá hơn 5,5 TỶ đồng khi nạp thẻ từ 20.000đ. Thêm ưu đãi hời khi nạp thẻ tại https://my.vnpt.com.vn/adv/napthe . CSKH: 18001091 (0đ).",message_domain|requested_actions,telecom,marketing_promotion,telecom,False,False,False,click_or_visit_link|call_phone,click_or_visit_link|make_payment,click_or_visit_link|make_payment,telecom,False,click_or_visit_link|call_phone,
phase1_02302,Goi cuoc D159V (159000d) cua Quy khach se duoc gia han chu ky tiep theo vao ngay 04/01/2025. QK vui long nap tien tai: https://vnptpay.vn/bill/ va duy tri so du TKC toi thieu 159000d de duoc gia han tu dong va huong uu dai goi. Tran trong cam on. Chi tiet lien he 18001091,message_domain|requested_actions,telecom,banking_finance,telecom,False,False,False,deposit_or_top_up|call_phone|click_or_visit_link,click_or_visit_link|make_payment,click_or_visit_link|make_payment,telecom,False,deposit_or_top_up|call_phone|click_or_visit_link,
phase1_02325,"Bắc, tài khoản tài chính của bạn đã được thêm vào. Tài khoản: Nay128 Mật khẩu: yk6698 USDT Số dư: 1,080,096.50 [ ehoaq. com ] Vui lòng giữ nó ở nơi an toàn.",message_domain|obfuscation_present|requested_actions,banking_finance,other,investment,True,False,False,click_or_visit_link,none,none,banking_finance,True,click_or_visit_link,
phase1_02358,Tiktok đang tuyển nhân viên làm việc tại nhà ! ! ! Mô tả công việc: Xử lý đơn hàng ứng dụng của Tiktok. Thu nhập trong ngày 350 - 999k / ngày Thao tác đơn giản và bạn có thể nhận tiền sau 13 - 25 phút. Các bạn có nhu cầu tham gia xin liên hệ zalo.me/84937441240 zalo:84937441240,requested_actions,employment,employment,employment,False,False,False,contact_off_platform,click_or_visit_link|contact_off_platform,contact_off_platform,employment,False,contact_off_platform,
phase1_02368,"j)t.ly/Q5YuG Um Cu,u~Th,ua8% ZJ Na.pVao-LanD:au,UuDa'j:8Tr8 PJ wz8:88.Bma Gu.i_C:OT~6OKa:H'SD;2_4H[[H6MW9KD1X191> zHoa'n,Tr'a~1,4% Ge",message_domain|requested_actions,gambling,marketing_promotion,unknown,True,True,True,click_or_visit_link|deposit_or_top_up,unclear,unclear,gambling,True,click_or_visit_link|deposit_or_top_up,
phase1_02399,"E Ho Cho Cap Lai, lam Bang Lai Xe Cac Loai A,B,C,D..Cung Cap Cac Loai Giay To Khac CCCD,Bang DH,Cdang,TCap. GiaoHang va ThanhToan Tai Nha LH 0986557450 Rsmv",message_domain,other,marketing_promotion,commerce,False,False,False,call_phone,call_phone,call_phone,other,False,call_phone,
