review_key,sample_id,decision,review_note,reviewed_at,source_dataset,source_file,source_row_id,content,normalized,hard_case_type,flags,filter_reason,reject_reason
vilexnorm|data/external/vilexnorm/raw/train.csv|8|Hjc ai cần gia sư mà diệt fò giỏi hơn dạy học thì gọi mình nhé,vilexnorm_hardneg_00001,reject,nhay cam,2026-05-21T03:08:44+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,8,Hjc ai cần gia sư mà diệt fò giỏi hơn dạy học thì gọi mình nhé,Hjc ai cần gia sư mà diệt phò giỏi hơn dạy học thì gọi mình nhé,sensitive_review,has_sensitive_review_keyword,risk_surface_without_strong_reject,
"vilexnorm|data/external/vilexnorm/raw/train.csv|10|Thế nào đc 9.5 thật đó đỉnh vãi ò, đã v mk điểm cao nhất lớp chứ đc cô thưởng 300k",vilexnorm_hardneg_00002,accept,,2026-05-21T03:08:53+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,10,"Thế nào đc 9.5 thật đó đỉnh vãi ò, đã v mk điểm cao nhất lớp chứ đc cô thưởng 300k","Thế nào đc 9.5 thật đó đỉnh vãi ò, đã vậy mình điểm cao nhất lớp chứ được cô thưởng 300k",money_like;sensitive_review,has_abbreviation;has_money_amount;has_sensitive_review_keyword;has_slang,risk_surface_without_strong_reject,
"vilexnorm|data/external/vilexnorm/raw/train.csv|18|bạn mình bị ồi, nhờ CA thì phải chung nhìu tiền.",vilexnorm_hardneg_00003,accept,,2026-05-21T03:09:02+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,18,"bạn mình bị ồi, nhờ CA thì phải chung nhìu tiền.","bạn mình bị rồi, nhờ công an thì phải chung nhiều tiền.",authority_like,has_authority_keyword,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|26|Cho lên phường cmn đi.,vilexnorm_hardneg_00004,accept,,2026-05-21T03:09:05+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,26,Cho lên phường cmn đi.,Cho lên phường con mẹ nó đi.,sensitive_review,has_sensitive_review_keyword,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|36|tâm lí tội phạm đây r :))),vilexnorm_hardneg_00005,accept,,2026-05-21T03:09:09+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,36,tâm lí tội phạm đây r :))),tâm lí tội phạm đây rồi :))),sensitive_review,has_sensitive_review_keyword,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|38|Chắc thầy lại thích xem món chym nướng rồi,vilexnorm_hardneg_00006,accept,,2026-05-21T03:09:25+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,38,Chắc thầy lại thích xem món chym nướng rồi,Chắc thầy lại thích xem món chim nướng rồi,sensitive_review,has_sensitive_review_keyword,risk_surface_without_strong_reject,
"vilexnorm|data/external/vilexnorm/raw/train.csv|63|các b cứ yên tâm, bộ ngoại giao thì phản đối chứ bộ quốc phòng thì vẫn sẵn sàng, nói chung là tầm vài năm nữa TQ nó hoàn thiện rồi trao trả lại cho mình, mình đỡ đc bao nhiêu việc",vilexnorm_hardneg_00007,accept,,2026-05-21T03:09:36+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,63,"các b cứ yên tâm, bộ ngoại giao thì phản đối chứ bộ quốc phòng thì vẫn sẵn sàng, nói chung là tầm vài năm nữa TQ nó hoàn thiện rồi trao trả lại cho mình, mình đỡ đc bao nhiêu việc","các bạn cứ yên tâm, bộ ngoại giao thì phản đối chứ bộ quốc phòng thì vẫn sẵn sàng, nói chung là tầm vài năm nữa TQ nó hoàn thiện rồi trao trả lại cho mình, mình đỡ được bao nhiêu việc",sensitive_review,has_abbreviation;has_sensitive_review_keyword,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|75|Ko cho vay thì ngại cho vay oy tới lúc đòi thì sợ giận mà ko đòi ngta cg ko có suy nghĩ muốn trả mà kb lm tn,vilexnorm_hardneg_00008,accept,,2026-05-21T03:10:00+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,75,Ko cho vay thì ngại cho vay oy tới lúc đòi thì sợ giận mà ko đòi ngta cg ko có suy nghĩ muốn trả mà kb lm tn,Không cho vay thì ngại cho vay rồi tới lúc đòi thì sợ giận mà không đòi người ta cũng không có suy nghĩ muốn trả mà kb làm tn,finance_like,has_abbreviation;has_finance_keyword;has_teencode,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|87|Vd là ck méo thương vk nhé,vilexnorm_hardneg_00009,reject,,2026-05-21T03:10:32+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,87,Vd là ck méo thương vk nhé,Ví dụ là chồng đéo thương vợ nhé,sensitive_review,has_sensitive_review_keyword,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|94|Ng hướng nội kiểu mừng cưới bạn 1 củ sau bao năm mình mời bạn đếch đi và r có nhiều ng mừng lại 5trăm ta nói cạn cmnl ahaaa.,vilexnorm_hardneg_00010,accept,,2026-05-21T03:10:40+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,94,Ng hướng nội kiểu mừng cưới bạn 1 củ sau bao năm mình mời bạn đếch đi và r có nhiều ng mừng lại 5trăm ta nói cạn cmnl ahaaa.,Người hướng nội kiểu mừng cưới bạn 1 củ sau bao năm mình mời bạn đếch đi và rồi có nhiều người mừng lại 5trăm ta nói cạn cmnl ahaaa.,sensitive_review,has_abbreviation;has_sensitive_review_keyword,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|106|tại nó không yêu mày đó chứ cung đ nào chả như nhao =))),vilexnorm_hardneg_00011,accept,,2026-05-21T03:10:53+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,106,tại nó không yêu mày đó chứ cung đ nào chả như nhao =))),tại nó không yêu mày đó chứ cung đéo nào chả như nhau =))),sensitive_review,has_sensitive_review_keyword,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|129|May ghê t hướng nội nhưng k có tiền cho ng ta vay,vilexnorm_hardneg_00012,accept,,2026-05-21T03:10:57+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,129,May ghê t hướng nội nhưng k có tiền cho ng ta vay,May ghê tôi hướng nội nhưng không có tiền cho người ta vay,finance_like,has_abbreviation;has_finance_keyword;has_teencode,risk_surface_without_strong_reject,
"vilexnorm|data/external/vilexnorm/raw/train.csv|138|dạo này mình mơi dạy, khó khăn hơn mình nghĩ và cũng thấy khá là thú vị hehe (có 55k thôi nhưng cũng dc ròi)",vilexnorm_hardneg_00013,accept,,2026-05-21T03:11:04+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,138,"dạo này mình mơi dạy, khó khăn hơn mình nghĩ và cũng thấy khá là thú vị hehe (có 55k thôi nhưng cũng dc ròi)","dạo này mình mới dạy, khó khăn hơn mình nghĩ và cũng thấy khá là thú vị hehe (có 55k thôi nhưng cũng được rồi)",money_like,has_abbreviation;has_money_amount;has_teencode,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|140|rồi lương tháng này của em đc 1 chẹo,vilexnorm_hardneg_00014,accept,,2026-05-21T03:11:06+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,140,rồi lương tháng này của em đc 1 chẹo,rồi lương tháng này của em được 1 triệu,money_like,has_abbreviation;has_money_amount;has_money_keyword,risk_surface_without_strong_reject,
"vilexnorm|data/external/vilexnorm/raw/train.csv|147|mấy thằng HP bị đá đểu ăn hoa cải thay cơm đ biết nhục còn lấy làm vinh hạnh, hở tí là ra cái vẻ giang hồ cơ",vilexnorm_hardneg_00015,accept,,2026-05-21T03:11:27+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,147,"mấy thằng HP bị đá đểu ăn hoa cải thay cơm đ biết nhục còn lấy làm vinh hạnh, hở tí là ra cái vẻ giang hồ cơ","mấy thằng HP bị đá đểu ăn hoa cải thay cơm đéo biết nhục còn lấy làm vinh hạnh, hở tí là ra cái vẻ giang hồ cơ",sensitive_review,has_sensitive_review_keyword,risk_surface_without_strong_reject,
"vilexnorm|data/external/vilexnorm/raw/train.csv|159|Kiện chết cmn đi , ch ó cậy gần nhà , báo người ta còn đi đánh họ nữa",vilexnorm_hardneg_00016,accept,,2026-05-21T03:11:34+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,159,"Kiện chết cmn đi , ch ó cậy gần nhà , báo người ta còn đi đánh họ nữa","Kiện chết cmn đi , chó cậy gần nhà , báo người ta còn đi đánh họ nữa",sensitive_review,has_sensitive_review_keyword,risk_surface_without_strong_reject,
