content,label,data_origin
Chứ lúc thích thật thì chỉ dám nép ở góc tường từ xa nhìn ng ta,0,external_real
nhìn xem đay là 1 hay 2ng vậy pà con,0,external_real
Nhìn thấy khách nợ 1 năm rồi ngại k dám ngẩng mặt lên,0,external_curated
Nhận bóng làm ck mà!!!,0,external_real
dạ bạn e cũng làm ngân hàng,0,external_curated
Xe nổ máy thì cứ gọi còn xe tắt máy thì liệu hồn gọi là nhan viên bật lại ngay,0,external_curated
Đời lắm ng thích ko làm mà đòi có ăn :))),0,external_real
Tiểu học thôi chứ c2 là k còn quả nào đâu :)),0,external_real
Trộm vía là h việc nhẹ lương cao phụ huynh thì siêu đáng yêu,0,external_curated
29t lương cb 4.528.000 vnđ,0,external_curated
Nhưng mà chốt câu vẫn là đưa tk đây,0,external_curated
Vô cty rồi nhưng nt xin lên phòng trễ 20p,0,external_curated
"bạn ơi, công an vs tòa án triệu tập sẽ gửi giấy về nhà, nên là đừng tin gì liên hệ qua ĐT, nhớ nhắc ba mẹ ở nhà nữa nhé",0,external_curated
"cứ bình tĩnh, ny chị Hảo giờ chắc đang học lớp 9",0,external_real
Mà nghe nhiều vụ án mới thấy công an mình giỏi nhg cũng nhờ dân mình quá nhiệt tình trình báo luôn,0,external_curated
Chồng teo thà mất tiền chứ nhất quyết kg bao giờ chịu đòi.,0,external_curated
"dạo này mình mơi dạy, khó khăn hơn mình nghĩ và cũng thấy khá là thú vị hehe (có 55k thôi nhưng cũng dc ròi)",0,external_curated
"Xấu mặt dân Hp đi ngta là con gái hô hoán lao đánh đ hiểu nghĩ gì ,mấy ng đánh đ nghĩ rằng ví dụ con gái mình ra đường bị thế thì nghĩ sao ?",0,external_curated
nhìn z chứ kh ph z=)),0,external_real
cta nên đeo cái nì,0,external_real
hồi đó mẹ sắm cho cọng dây chiền đeo mà t cũng cắm lấy 5tr đi Vũng Tàu  trùng hợp quãi đạn,0,external_curated
"E k biết đủ hay ko nhưng tính sơ sơ 1 tháng mất 4-5tr cho th cu con tiền học mẫu giáo, sữa , bỉm vs lặt vặt của nó",0,external_curated
Nh khi buộc phải làm vì ng t muốn gửi k dùng tóp tóp,0,external_real
ngày trc vào mình thì chắc còn độc lá,0,external_real
"Gu của bn mình là phim ""chữa lành"" nhỉ",0,external_real
"Nhiều vợ chồng , làm ở kcn, lương tổng hai ng nới được 15tr mà vẫn con cái học đàng hoàng mà.",0,external_curated
Có lẽ nào GÀ sắp tuyệt chủng rồi ko?,0,external_real
Tình trạng chung của ae lấy vợ rồi,0,external_real
ăn tàn phá hại như mấy con nứng lol trên tiktok thì có 50 tr cũng đell đủ cho nó sài.,0,external_curated
