sample_id,content,label,has_url,has_phone_number,sender_type,category,obfuscation_level,data_origin,source_dataset,source_file,source_row_id
phase1_05778,"Tin nhắn quảng cáo: ""Tuyển đội tuyển giải trí 2024! Hưởng ngay 85% tỷ lệ thắng. Liên hệ ngay: 0987654321. Link: nhàcái123.bet""",1,1,1,shortcode,Cờ bạc / Betting,LEVEL 3 – Dot/dash insertion,paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_05778
phase1_09542,"SacomBank: Tài khoản của quý khách tạm ngưng hoạt động do nghi ngờ giao dịch bất thường. Để kích hoạt lại, vui lòng truy cập sacombank.activate.com ngay!",1,1,0,brandname,Giả mạo ngân hàng,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_09542
phase1_08769,**[CÔNG AN ĐIỆN TỬ] Tài khoản cá nhân của bạn bị tạm khóa do nghi vấn vi phạm pháp luật. Truy cập ngay:** khxacminh-cand.com **để xác minh thông tin.**,1,1,0,personal_number,Dịch vụ công giả,NONE,paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_08769
phase1_08846,Bạn muốn kiếm thu nhập thụ động ngay tại nhà? Tham gia chương trình đào tạo đầu tư siêu lợi nhuận của chúng tôi! Giáo viên giàu kinh nghiệm sẽ hướng dẫn từng bước. Đăng ký ngay: bit.ly/kiemtienngay,1,1,0,personal_number,Crypto / Đầu tư giả,NONE,paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_08846
phase1_09054,"Công ty TNHH XKY tuyển nhân viên online tại nhà. Lương 30-50 triệu/tháng. Công việc nhẹ nhàng, không đòi hỏi kinh nghiệm. Liên hệ ngay: zalo.me/84932678899 hoặc gọi 84932678899",1,1,1,personal_number,Tuyển dụng giả,LEVEL 0 – Không obfuscation (formal),paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_09054
phase1_05801,Văn bản: Quý khách đã đủ tiêu chuẩn nhận hỗ trợ từ Quỹ an sinh thất nghiệp theo QĐ 2345/2023. Truy cập ngay https://123qwe.asia để xác nhận thông tin. HOẠT ĐỘNG CHỈ TRONG 24H!,1,1,0,personal_number,BHXH / Trợ cấp,NONE,paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_05801
phase1_10212,"Tiki đang tuyển dụng cộng tác viên online xử lý đơn hàng thương mại điện tử. Mức thu nhập hấp dẫn từ 400–1.200k/ngày, hoàn toàn không cần đến công ty. Độ tuổi từ 20-55. Liên hệ ngay: Zalo: zalo.me/84912345678 Hotline: 0912345678",1,1,1,personal_number,Tuyển dụng giả,LEVEL 0 – Không obfuscation (formal),paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_10212
phase1_08180,"Ông/bà phải có mặt ngay lập tức để giải trình về hành vi trốn thuế và khoản nợ quá hạn. Nếu không liên hệ trước 18h hôm nay, chúng tôi sẽ khởi động thủ tục phong tỏa tài sản và khởi tố hình sự theo luật định. Gọi ngay: 0988776655.",1,0,1,personal_number,Đòi nợ / Đe dọa,LEVEL 0 – Không obfuscation (formal),paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_08180
phase1_08680,"TPBank: Tài khoản của quý khách vừa bị truy cập trái phép! Truy cập ngay https://tpbank-otp.xyz để khóa bảo mật, tránh mất tiền oan.",1,1,0,shortcode,Giả mạo ngân hàng,NONE,paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_08680
phase1_06138,Chợ Tốt tuyển cộng tác viên kiểm duyệt sản phẩm và xử lý đơn online tại nhà. Mức thu nhập hấp dẫn từ 600k-2tr mỗi ngày. Độ tuổi ứng tuyển 22-60. Đăng ký ngay: bit.ly/ctvchodtot,1,1,1,personal_number,Tuyển dụng giả,LEVEL 0 – Không obfuscation (formal),paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_06138
phase1_10307,THẮNG TO ĂN CHẶN Tặng ngay 55% cho mọi cú đặt cược. Nhanh tay nhận ngay: 0987654321. Truy cập ngay: kubet.vn,1,1,1,shortcode,Cờ bạc / Betting,LEVEL 2 – Leet nặng + tên riêng,paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_10307
phase1_09939,"Công ty Z3nith đang tuyển gấp nhân viên bán hàng online. Mức lương 700.000đ/ngày, nhận lương ngay khi hoàn thành nhiệm vụ. Độ tuổi từ 18-60. Liên hệ ngay: zalo.me/84987654321",1,1,1,personal_number,Tuyển dụng giả,NONE,paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_09939
phase1_07329,"THÔNG BÁO KHẨN CẤP: Đơn vị Thu hồi Nợ chính thức thông báo đến bà Trần Vân Anh (CCCD: 025091827364). Khoản tiền 32,5 triệu VND tại Home Credit đã bị trễ hạn. Quý khách vui lòng hoàn tất thanh toán trước 18h ngày 07/11, nếu không, toàn bộ hồ sơ sẽ được bàn giao cho cơ quan pháp luật xử lý nghiêm.",1,0,0,personal_number,Đòi nợ / Đe dọa,LEVEL 0 – Không obfuscation (formal),paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_07329
phase1_05720,"""Chào bạn! Mình là tư vấn viên online đây. Bạn có muốn kiếm thêm 15 triệu/tháng từ việc nhấp chuột đơn giản không? Chỉ cần đăng ký 2 phút, bạn đã sở hữu ngay phần thưởng 200.000đ. Còn chần chờ gì nữa?""",1,0,0,personal_number,Crypto / Đầu tư giả,NONE,paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_05720
phase1_06888,Tiki tuyển cộng tác viên nhập liệu và chấm điểm sản phẩm online. Lương 750.000 đồng/ngày. Độ tuổi 20-55. Liên hệ Fanpage: m.me/tikicv,1,1,1,personal_number,Tuyển dụng giả,NONE,paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_06888
phase1_09078,"""Hội những người mới: hãy đến **Sài Gòn** – trang **Zalo** của mình: zalo.me/555newbie xyz789""",1,1,0,personal_number,Nội dung nhạy cảm,LEVEL 5 – Extreme noise,paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_09078
phase1_08962,Bộ Y tế: Kết quả xét nghiệm của bạn vừa được cập nhật. Truy cập ngay hethongxetnghiem.gov.vn để kiểm tra thông tin.,1,1,0,brandname,Dịch vụ công giả,NONE,paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_08962
phase1_10232,"Công ty TNHH Xanh Tươi đang tuyển nhân viên xử lý đơn hàng online, đóng gói sản phẩm tại nhà. Mức lương 400-1.200k/ngày. Không yêu cầu kinh nghiệm. Độ tuổi 20-65. Liên hệ ngay: zalo.me/84987654321",1,1,1,personal_number,Tuyển dụng giả,NONE,paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_10232
phase1_09432,ShopTik tuy3n nh4n nh@n v13n x?p h@ng s?n ph?m. Lu0ng 600k-5tr/ngay. Tu01 22-60. Lien he: zalo.me/84855566677 Z4l0: 84855566677,1,1,1,personal_number,Tuyển dụng giả,NONE,paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_09432
phase1_06036,"Công ty Shopee cần tuyển 50 nhân viên cộng tác viên đăng sản phẩm online. Mức lương hấp dẫn 1.200.000 đồng/ngày, không giới hạn tuổi tác. Thanh toán lương theo giờ linh hoạt. Liên hệ ngay qua số Zalo: 84987654321",1,0,1,personal_number,Tuyển dụng giả,NONE,paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_06036
phase1_08207,"H;C;M - Z;a;l;o;: K;e^t:b;a\""n:v;0\""i:c;h;u:c;h;u:t. L;i\""n;k: z.l;o/teen_hcm_3. xR1c",1,1,0,personal_number,Nội dung nhạy cảm,LEVEL 4 – Mixed special chars,paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_08207
phase1_08148,[VPBANK] Tài khoản ngưng hoạt động do nhập mật khẩu sai. Truy cập vpb.com-2fa.xyz xác minh ngay.,1,1,0,brandname,Giả mạo ngân hàng,NONE,paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_08148
phase1_09525,"BIDV: Tài khoản của quý khách vừa bị tạm khóa do hoạt động bất thường. Vui lòng truy cập bidvv.com để xác nhận thông tin ngay, nếu không tài khoản sẽ bị vô hiệu hóa.",1,1,0,shortcode,Giả mạo ngân hàng,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_09525
phase1_07304,"CẤM NÊN NGỜ!!! Nếu chị Đỗ Thị Mai, CMND 001095847362 không chuyển khoản ngay 6.980.000đ trong vòng 12 tiếng tới, Home Credit sẽ gửi đơn kiện tới công ty chủ quản và phát thông báo công khai lên mạng xã hội. Mọi liên hệ: ZALO 0933.445.566.",1,0,1,personal_number,Đòi nợ / Đe dọa,NONE,paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_07304
phase1_05672,Công ty TNS đang tuyển gấp nhân viên xử lý đơn hàng Shopee. Mức thu nhập 950.000 đồng/ngày. Độ tuổi từ 20 - 55. Liên hệ ngay qua Zalo: 84983456789,1,0,1,personal_number,Tuyển dụng giả,NONE,paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_05672
phase1_07900,MB: Tài khoản của bạn vừa bị tạm khóa do nghi ngờ truy cập trái phép. Truy cập ngay mb-verify.com để xác minh trong vòng 10 phút.,1,1,0,brandname,Giả mạo ngân hàng,NONE,paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_07900
