split,sample_id,content,label,data_origin,category,sender_type,has_url,has_phone_number,obfuscation_level,student_model,student_p0,student_p1,student_pred,student_confidence,student_agree_label,error_type
train,ViSmish_00043,"đơn giản là vì 2 đứa con cụ đều chả có hứng thú với ew đương, đặc biệt là đứa con út này, mỗi lần có người ngoài hỏi bao giờ lấy chồng thì nó đều nói: “cháu phải kiếm tiền hiếu kính phụ huynh đã, chưa báo hiếu được ngày nào mà đã đi lấy chồng luôn là cháu không chịu đâu.”",0,external_curated,P2P hard negative,personal_number,0,0,NONE,char_bilstm_hard,0.3239079,0.6760921,1,0.6760921,False,FP
train,ViSmish_00085,[Cong an TP] Can lam viec ve ho so BHXH cua Pham Thi Huong. Co so du lieu cho thay co sai sot can chinh sua. Goi 1234/CV-CT de dat lich lam viec.,1,synthetic_hard_negative,Dịch vụ công giả,brandname,0,0,Level 2 - Leet nặng,char_bilstm_hard,0.92175055,0.07824948,0,0.92175055,False,FN
train,ViSmish_00122,"MTTQ VIET NAM tran trong cam on Quy manh thuong quan da ung ho 500,000d vao Quy Vi nguoi ngheo. Chung nhan dien tu da duoc gui ve email cua Quy khach.",0,synthetic,Dịch vụ công thật,brandname,0,0,NONE,char_bilstm_hard,0.43838054,0.56161946,1,0.56161946,False,FP
train,ViSmish_00175,"[TB] Thủ tướng Chính phủ kêu gọi người dân chung tay xóa nhà tạm, nhà dột nát trên phạm vi toàn quốc bằng cách chuyển khoản đến Quỹ Vì người nghèo Trung ương số tài khoản: - 111135888888 tại Vietinbank. - 9999999999999 tại Vietcombank. - 1303999789999 tại Agribank. - 8631088888 tại BIDV. - 2025 tại MBBank. - 3761.0.9054386.91046 tại Kho bạc Nhà nước Hoàn Kiếm, Hà Nội.",0,real,Dịch vụ công thật,brandname,0,1,NONE,char_bilstm_hard,0.09290832,0.9070917,1,0.9070917,False,FP
train,ViSmish_00234,Nhanh chóng giàu có: TK 2837465920-ATB. Tên: CÔNG TY CP ĐẦU TƯ & CÔNG NGHỆ TÀI CHÍNH.,1,paraphrased,Crypto / Đầu tư giả,personal_number,0,0,Level 0 - Formal,char_bilstm_hard,0.6261996,0.37380043,0,0.6261996,False,FN
train,ViSmish_00298,"[TB] Để đảm bảo an toàn khi tham gia giao thông dịp Tết Nguyên đán Giáp Thìn 2024, đề nghị người dân chấp hành pháp luật về trật tự, an toàn giao thông, điều khiển phương tiện đúng tốc độ, giữ khoảng cách an toàn, tuyệt đối không điều khiển phương tiện khi đã sử dụng rượu, bia.",0,real,Dịch vụ công thật,brandname,0,0,NONE,char_bilstm_hard,0.081137,0.918863,1,0.918863,False,FP
train,ViSmish_00336,Bộ TTTT: Thẻ SIM di động của quý khách chưa hoàn tất thủ tục pháp lý. Xác minh ngay tại https://gov-tttt.vn,1,paraphrased,Dịch vụ công giả,brandname,1,0,Level 0 - Formal,char_bilstm_hard,0.88495314,0.11504685,0,0.88495314,False,FN
train,ViSmish_00506,Thí sinh Trần Nguyễn Nam Hải thân mến . Kỳ tuyển sinh bổ sung  đợt 1: chỉ còn 05 ngày cho thí sinh xét tuyển nguyện vọng yêu thích vào ĐH FPT  hệ chính quy 2022 . Nếu bạn quan tâm vui lòng liên hệ fanpage:https://www.facebook.com/fptu.hcm hoặc holine 02873005588 để được tư vấn. trân trọng!,0,real,Khác,brandname,1,1,NONE,char_bilstm_hard,0.010111511,0.9898885,1,0.9898885,False,FP
train,ViSmish_00595,[Cuc Thue] Xac nhan: Ho so cap the CCCD cua Ho Van Nam can xac minh them thong tin. Goi 1234/CV-CT trong gio hanh chinh de dat lich phong van.,1,synthetic_hard_negative,Dịch vụ công giả,brandname,0,0,Level 2 - Leet nặng,char_bilstm_hard,0.84624594,0.15375404,0,0.84624594,False,FN
train,ViSmish_00658,Bo Giao thong Van tai: Le Van Thanh can bo sung giay to cho ho so cap phep kinh doanh so QD-2025/001. Han chot ngay mai. Goi hotline QD-2025/001 de duoc ho tro.,1,synthetic_hard_negative,Dịch vụ công giả,brandname,0,0,Level 2 - Leet nặng,char_bilstm_hard,0.7846422,0.21535781,0,0.7846422,False,FN
