sample_id,content,message_domain,text_phenomena,text_noise_score,target_age_groups,target_gender,target_roles,target_evidence,obfuscation_present,obfuscation_techniques,obfuscation_severity,obfuscation_confidence,persuasion_tactics,requested_actions,requested_action_evidence,review_flags,confidence_message_domain,confidence_surface_features,confidence_target_audience,confidence_obfuscation,confidence_persuasion_tactics,confidence_requested_actions
phase1_01600,(TB) Quy Khach da huy thanh cong goi MI_D7 trên app My VNPT. Thong tin chi tiet truy cap My VNPT http://onelink.to/v58hh4 hoac lien he 18001091,telecom,abbreviation,1,general,all,customer,Quý khách,false,,0,1.0,reward_incentive,click_or_visit_link|call_phone,truy cập My VNPT http://onelink.to/v58hh4 || liên hệ 18001091,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_01954,"Viettel thong bao: Quy khach da duoc lap hoa don so K25TVA2611398, ngay lap 14/09/2025, so tien 0 VND. Quy khach co the tra cuu hoa don dien tu tai http://www.vietteltelecom.vn/hdbh theo ma so bi mat 5HK2M9SZP5.",telecom,,0,general,all,customer,Quy khach,false,,0,1.0,,click_or_visit_link,truy cập hoa don dien tu tai http://www.vietteltelecom.vn/hdbh theo ma so bi mat 5HK2M9SZP5,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_02300,"(TB) Chúc mừng đội tuyển VIỆT NAM VÔ ĐỊCH ASEAN CUP 2024, VinaPhone tặng riêng Quý khách 20% giá trị thẻ nạp vào NGÀY MAI 07/1/2025 (khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày). Cơ hội trúng iPhone 16 Pro Max và hàng ngàn giải thưởng tổng trị giá hơn 5,5 TỶ đồng khi nạp thẻ từ 20.000đ. Thêm ưu đãi hời khi nạp thẻ tại https://my.vnpt.com.vn/adv/napthe . CSKH: 18001091 (0đ).",telecom,abbreviation,1,general,all,customer,Quý khách,false,,0,1.0,reward_incentive|scarcity,click_or_visit_link|make_payment,nạp thẻ tại https://my.vnpt.com.vn/adv/napthe || CSKH: 18001091 (0đ),,1.0,1.0,1.0,1.0,1.0,1.0
phase1_00132,"(QC) MKTAMDUC gui tang khach hang Uu Dai Sinh Nhat trong thang 2 ma ""SN02"" giam gia -49% 01 san pham Gong, Kinh mat.  CT: https://mktd.vn/sinhnhat .HSD 28/02. De tu choi QC, Soan TC MKTAMDUC gui 1313",commerce,abbreviation,1,general,all,customer,khach hang,false,,0,1.0,reward_incentive,click_or_visit_link|reply_message,CT: https://mktd.vn/sinhnhat || Soan TC MKTAMDUC gui 1313,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_02142,(TB) Chốt ngay - Quà tới tay! Quý khách nhận được tin nhắn có ngay 20% giá trị thẻ nạp trong NGÀY MAI 17/6/2025. Khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày. Thêm ưu đãi hời khi nạp thẻ tại https://my.vnpt.com.vn/adv/napthe .  CSKH: 18001091 (0đ).,telecom,,0,general,all,customer,Quý khách,false,,0,1.0,reward_incentive,click_or_visit_link|make_payment,nạp thẻ tại https://my.vnpt.com.vn/adv/napthe || CSKH: 18001091 (0đ),,1.0,1.0,1.0,1.0,1.0,1.0
phase1_00825,"[TB] Soan F70 gui 191: 70.000d/30 ngay co 3GB, mien phi 10p/cuoc noi mang, 20p ngoai mang. Goi cuoc gia han sau 30 ngay. CT ap dung den 14/09. LH 198 (0d).",telecom,abbreviation,1,general,all,customer,Quy khach,false,,0,1.0,reward_incentive,reply_message|call_phone,Soan F70 gui 191 || LH 198 (0d),,1.0,1.0,1.0,1.0,1.0,1.0
phase1_01772,"Hưởng ứng Ngày Pháp luật nước Cộng hòa xã hội chủ nghĩa Việt Nam 09/11, toàn dân nâng cao ý thức tôn trọng, tuân theo Hiến pháp và pháp luật.",public_service,,0,general,all,general_public,,false,,0,1.0,,none,,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_00109,"[TB] CHỈ 5K, CÓ DATA SIÊU TỐC! Soạn ST5K gửi 191: Chỉ 5.000đ/ngày có ngay 500MB tốc độ cao sử dụng đến 24h. Gói cước gia hạn hàng ngày. ĐẶC BIỆT: TẶNG THÊM 500MB khi mua lần thứ 2 trong ngày. LH 198 (0đ).",telecom,abbreviation,1,general,all,customer,Quý khách,false,,0,1.0,reward_incentive,reply_message|call_phone,Soạn ST5K gửi 191 || LH 198 (0đ),,1.0,1.0,1.0,1.0,1.0,1.0
phase1_00526,"TK ViettelPay 9704...1278 GD -1,000 VND luc 2023-08-11 14:13:34 So du 3,372 VND Phi: -0 VND ND: GD thanh toan 230811182319866 NAP TIEN DIEN THOAI cho Khach hang 0867256447",telecom,,0,general,all,customer,Khach hang,false,,0,1.0,,none,,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_01509,"(TB) Chúc mừng năm mới Giáp Thìn 2024! Người dân chủ động sắp xếp thời gian trở lại nơi làm việc và sinh sống tại các thành phố lớn, tránh tình trạng ùn tắc giao thông vào cuối dịp nghỉ lễ, tuyệt đối không điều khiển phương tiện khi đã sử dụng rượu, bia.",public_service,,0,general,all,general_public,Người dân,false,,0,1.0,reward_incentive,none,,,1.0,1.0,1.0,1.0,1.0,1.0
