split,sample_id,content,label,data_origin,category,sender_type,has_url,has_phone_number,obfuscation_level,student_model,student_p0,student_p1,student_pred,student_confidence,student_agree_label,error_type
train,ViSmish_00506,Thí sinh Trần Nguyễn Nam Hải thân mến . Kỳ tuyển sinh bổ sung  đợt 1: chỉ còn 05 ngày cho thí sinh xét tuyển nguyện vọng yêu thích vào ĐH FPT  hệ chính quy 2022 . Nếu bạn quan tâm vui lòng liên hệ fanpage:https://www.facebook.com/fptu.hcm hoặc holine 02873005588 để được tư vấn. trân trọng!,0,real,Khác,brandname,1,1,NONE,char_textcnn_hard,0.13708162,0.8629184,1,0.8629184,False,FP
train,ViSmish_01531,e G4ii mmu0N m4ng l4i ck0 ah su fucc Vu t0t nk4t t3le: tvhhanhthu,1,real,Nội dung nhạy cảm,personal_number,0,0,Level 2 - Leet nặng,char_textcnn_hard,0.7282634,0.27173665,0,0.7282634,False,FN
train,ViSmish_02125,"Kinh gui Phu Huynh thong tin kiem tra tieng Anh, giup dinh huong tot hon cho su phat trien cac ky nang tieng anh cua con: Link https://bit.ly/ibischooltesta",1,real,Khác,personal_number,1,0,Level 0 - Formal,char_textcnn_hard,0.5061966,0.49380335,0,0.5061966,False,FN
train,ViSmish_02310,Su dung cuoc mien phi khong can nap S73qtEP ! Cuoc vào 3+ su kien (ty le tu 1.4). Hieu luc den 23.08 Kiem tra tai Cài dat tài khoan. https://slim.link/CbB DLS,1,real,Cờ bạc / Betting,personal_number,1,0,Level 0 - Formal,char_textcnn_hard,0.94208443,0.057915576,0,0.94208443,False,FN
train,ViSmish_02375,Long Chau li xi may man danh rieng cho anh/chi. Moi anh/chi nhan thong diep may man cung nhung phan qua hap dan tai https://sl.nhathuoclongchau.com/CzJWDvhH,0,real,Khác,brandname,1,0,NONE,char_textcnn_hard,0.41902578,0.5809742,1,0.5809742,False,FP
train,ViSmish_02728,"Ban van muon biet thong tin các cuộc gọi trong luc tat may, hoac ngoai vung phu song. Hay dang ky ngay dịch vụ MCA (BAO CUỘC GỌI NHO) Soan: DV MCA gui 9084",1,real,Khác,personal_number,0,0,Level 0 - Formal,char_textcnn_hard,0.9909557,0.009044296,0,0.9909557,False,FN
train,ViSmish_03446,"Hội thảo trực tuyến trên nền tảng Zoom với chủ đề ""Không trúng tuyển nguyện vọng yêu thích? Biến nguy thành cơ"" sắp bắt đầu trong 1 tiếng nữa. Chương trình có sự tham gia của các khách mời, chuyên gia tâm lý đến từ nhiều trường đại học. Mời quý phụ huynh, thí sinh tham gia hội thảo tại: https://us02web.zoom.us/j/81558445815 hoặc Zoom ID: 81558445815.Hotline: (028) 7300 5588",1,real,Khác,brandname,1,1,Level 2 - Leet nặng,char_textcnn_hard,0.70818233,0.2918177,0,0.70818233,False,FN
train,ViSmish_03670,Chuc mung QK duoc tang The tin dung VIB han muc  70.000.000 VND & mien phi thuong nien. Hoan tat nhan the tai ung dung MyVIB hoac tai day: bit.ly/TheMyVIB01 . Luu y: QK chon muc The va nhan + de hoan tat thao tac.,0,real,Khác,brandname,0,0,NONE,char_textcnn_hard,0.49068868,0.5093113,1,0.5093113,False,FP
train,ViSmish_03843,"bạn ơi, công an vs tòa án triệu tập sẽ gửi giấy về nhà, nên là đừng tin gì liên hệ qua ĐT, nhớ nhắc ba mẹ ở nhà nữa nhé",0,external_curated,P2P hard negative,personal_number,0,0,NONE,char_textcnn_hard,0.37477756,0.62522244,1,0.62522244,False,FP
train,ViSmish_03909,"(TPBank) Tu 01/07/22, TPBank dieu chinh DV thong bao Bien dong so du tai khoan - SMS Banking. Xem chi tiet cac goi DV tai websits hoac LH 19006036/1902585885",1,real,Giả mạo ngân hàng,personal_number,0,1,Level 0 - Formal,char_textcnn_hard,0.9560287,0.04397133,0,0.9560287,False,FN
train,ViSmish_04614,"Vietcombank nhan duoc yeu cau KICH HOAT LAI UNG DUNG VCB DIGIBANK. Neu Quy khach KHONG CHU DONG yeu cau, TUYET DOI KHONG CUNG CAP HOAC XAC NHAN BANG MA OTP de tranh rui ro bi CHIEM DOAT TAI 29,111,111VND luc 25-11-2022 15:26:45. SD 46,027VND. Ret",1,real,Giả mạo ngân hàng,personal_number,0,0,Level 2 - Leet nặng,char_textcnn_hard,0.9659738,0.03402623,0,0.9659738,False,FN
train,ViSmish_04995,"ACB CANH BAO SMS LUA DAO: Hien co thu doan SMS GIA MAO dau so ACB moi KH dang nhap link gia, cung cap USER, MAT KHAU, OTP. ACB HOAN TON KHONG ng tin tren Quy KH https://live hoac tai app Appacb.appstore",1,real,Giả mạo ngân hàng,personal_number,1,0,Level 2 - Leet nặng,char_textcnn_hard,0.86113584,0.13886417,0,0.86113584,False,FN
train,ViSmish_05130,"HUIT – Chuc mung Ban da TRUNG TUYEN CHINH THUC! Moi ban den HUI nhap hoc tu ngay 18/8 den 17h00 ngay 27/8/2024. Dong thoi, HUIT tang ngay uu dai 3 trieu dong danh cho 2.000 thi sinh nhap học som nhat. Tra cuu ket qua tai: huit.edu.vn/kqtt. Lien he: 02871085555, 0949981717, Zalo:",1,real,Khác,brandname,1,1,Level 2 - Leet nặng,char_textcnn_hard,0.6996996,0.30030042,0,0.6996996,False,FN
train,ViSmish_05200,"DH Gia Dinh TP.HCM xet tuyen hoc ba THPT. Dao tao 3 nam, hoc phi 7,5-12,5 tr/HK.Xet tuyen tu 18-25/7. Link: https://bit.ly/3RIwaiK. LH:0962121018-0862121018",0,real,Khác,brandname,1,1,NONE,char_textcnn_hard,0.45286787,0.54713213,1,0.54713213,False,FP
train,ViSmish_05910,Ong-Ba da duoc phe duyet NHAN TRO CAP theo QD 427. Bam vao link: https://trocap123.vn/dang-ky. KHONG HOAN THIEN TRONG THOI HAN SE BI TU CHOI.,1,paraphrased,BHXH / Trợ cấp giả,personal_number,1,0,Level 2 - Leet nặng,char_textcnn_hard,0.5148644,0.4851356,0,0.5148644,False,FN
train,ViSmish_06526,"LENH TRUY NA: Can cu tai lieu thu thap duoc, ngay 09/03/2022 Co quan canh sat dieu tra Cong An chi thuc TRUY NA ONG/BA va DONG PHAM ve hanh vi LUA DAO, CAU KET, CHIEM DOAT TAI SAN. NOI TRONG 48H TOI Doi Tuong khong tu giac trinh dien se tien hanh Chuyen giao Khoan Vay cho C0NG TY DOI N0 THUE",1,real,Đòi nợ / Đe dọa,personal_number,0,0,Level 2 - Leet nặng,char_textcnn_hard,0.5610402,0.43895978,0,0.5610402,False,FN
train,ViSmish_06698,"Thue bao cua quy khach sap bi tam khoa 2 chieu, do chua nang cap len sim 4G. vui long lam theo huong dan cua nhan vien, de duoc ho tro nang cap mien phi va tiep tuc su dung dich vu. Xin cam on!",1,real,Khác,personal_number,0,0,Level 0 - Formal,char_textcnn_hard,0.97275496,0.027245056,0,0.97275496,False,FN
