sample_id,content,label,has_url,has_phone_number,sender_type,category,obfuscation_level,data_origin
ViSmish_00002,Cuc Thue: Nguyen Thi Xuan can bo sung giay to cho ho so cap phep kinh doanh so QD-2025/001. Han chot ngay mai. Goi hotline QD-2025/001 de duoc ho tro.,1,0,0,brandname,Dịch vụ công giả,Level 2 - Leet nặng,synthetic_hard_positive
ViSmish_00003,Dịch vụ Quản lý Danh tính Quốc gia: Tài khoản của bạn tạm ngưng hoạt động. Xác minh ngay tại: qldnq.gov.vn,1,1,0,personal_number,Dịch vụ công giả,Level 0 - Formal,paraphrased
ViSmish_00004,[VPBank] Tài khoản ngưng hoạt động đột ngột. Truy cập vppay.vn-lc.com để xác thực ngay trong 24h tới.,1,1,0,brandname,Giả mạo ngân hàng,Level 0 - Formal,paraphrased
ViSmish_00006,Hỗ trợ NT-289: Quý khách vừa đủ TIÊU CHUẨN nhận TRỢ CẤP theo Quyết định BHXH. Nhận ngay tại: alink.biz. QUÁ HẠN SẼ KHÔNG ĐƯỢC NHẬN! 8XqL,1,1,0,personal_number,BHXH / Trợ cấp giả,Level 0 - Formal,paraphrased
ViSmish_00007,[Instagram] Ma xac thuc cua ban la: 112093. Co hieu luc trong 5 phut.,0,0,0,brandname,Tin nhắn cá nhân và OTP,NONE,synthetic
ViSmish_00009,Bạn gái xinh xắn chờ bạn ngay tại Sài Gòn. Sài Gòn – Line: @saigon_girl_123,1,1,0,personal_number,Nội dung nhạy cảm,Level 0 - Formal,paraphrased
ViSmish_00010,"TPBank: He thong ghi nhan yeu cau rut 20,000,000 VND tu ATM luc 02:15. Neu QK khong thuc hien, goi 19001234 de huy ngay.",1,0,0,brandname,Giả mạo ngân hàng,Level 0 - Formal,synthetic_hard_positive
ViSmish_00011,ACB: Ma xac thuc (OTP) cua Quy khach la 552910. KHONG chia se ma nay de bao mat tai khoan.,0,0,0,shortcode,Ngân hàng thật,NONE,synthetic
ViSmish_00013,"Chào bạn, mình là Linh. Mình đang tìm kiếm đối tác kinh doanh cho ứng dụng ABC. Cơ hội đầu tư siêu lợi nhuận. Liên hệ mình ngay!",1,0,0,personal_number,Crypto / Đầu tư giả,Level 0 - Formal,paraphrased
ViSmish_00015,Kw!n889_t5i-4pp-nh4n-79k-mien-fhi. x3_n4p-d4u. Link: k889.cc/qT3wS,1,1,0,personal_number,Cờ bạc / Betting,Level 2 - Leet nặng,paraphrased
