split,sample_id,content,label,data_origin,category,sender_type,has_url,has_phone_number,obfuscation_level,teacher_p1_t1,teacher_p1_t2,teacher_pred,teacher_confidence,teacher_agree_label,distill_weight,student_model,student_p0,student_p1,student_pred,student_confidence,student_agree_label,error_type
train,ViSmish_00154,"Hen h0 tinh m0t dem cung nhung em g@! xinh dep,sinh v!en , van phong ,single mom -. dang cho ban den ! Te|egram;https://sourl.cn/TTqB4A",1,real,Nội dung nhạy cảm,personal_number,1,0,Level 4 - Mixed special characters,0.9995303,0.9787813,1,0.9995303,True,1.0,tfidf_char_wb_3_5_logreg_soft_target,0.5493494024832264,0.4506505975167736,0,0.5493494024832264,False,FN
train,ViSmish_01392,"[CANH CAO LAN CUOI]:Chung toi da nhac nho, canh cao nhieu lan nhung thai do cua O/b va nhung nguoi lien quan van bat hop tac.Truoc 17g 15/2 khong tt,Phong AN NINH ĐIỀU TRA se vao cuoc dieu tra toan bo thong tin, hinh anh cua O/B va nhung nguoi co lien quan se phai chiu trach nhiem hinh su. LH 84867256447 gap.",1,real,Đòi nợ / Đe dọa,personal_number,0,0,Level 2 - Leet nặng,0.8811249,0.7313658,1,0.8811249,True,1.0,tfidf_char_wb_3_5_logreg_soft_target,0.5361913186836929,0.46380868131630715,0,0.5361913186836929,False,FN
train,ViSmish_01531,e G4ii mmu0N m4ng l4i ck0 ah su fucc Vu t0t nk4t t3le: tvhhanhthu,1,real,Nội dung nhạy cảm,personal_number,0,0,Level 2 - Leet nặng,0.9992053,0.9725706,1,0.9992053,True,1.0,tfidf_char_wb_3_5_logreg_soft_target,0.5128831664238485,0.48711683357615154,0,0.5128831664238485,False,FN
train,ViSmish_02310,Su dung cuoc mien phi khong can nap S73qtEP ! Cuoc vào 3+ su kien (ty le tu 1.4). Hieu luc den 23.08 Kiem tra tai Cài dat tài khoan. https://slim.link/CbB DLS,1,real,Cờ bạc / Betting,personal_number,1,0,Level 0 - Formal,0.0027669112,0.05003861,0,0.9972331,False,0.3,tfidf_char_wb_3_5_logreg_soft_target,0.6565834585924221,0.34341654140757794,0,0.6565834585924221,False,FN
train,ViSmish_02728,"Ban van muon biet thong tin các cuộc gọi trong luc tat may, hoac ngoai vung phu song. Hay dang ky ngay dịch vụ MCA (BAO CUỘC GỌI NHO) Soan: DV MCA gui 9084",1,real,Khác,personal_number,0,0,Level 0 - Formal,0.8231811,0.6833099,1,0.8231811,True,1.0,tfidf_char_wb_3_5_logreg_soft_target,0.7779037433583212,0.22209625664167879,0,0.7779037433583212,False,FN
train,ViSmish_03249,San pham trong gio hang cua ban van chua duoc thanh toan. Thanh toan ngay de duoc giao hang som: https://go.cps.onl/2n3tbjwe . Ho tro: 18002097,1,real,Khác,brandname,1,1,Level 0 - Formal,0.9994159,0.97639364,1,0.9994159,True,1.0,tfidf_char_wb_3_5_logreg_soft_target,0.5363600223277016,0.4636399776722983,0,0.5363600223277016,False,FN
train,ViSmish_03446,"Hội thảo trực tuyến trên nền tảng Zoom với chủ đề ""Không trúng tuyển nguyện vọng yêu thích? Biến nguy thành cơ"" sắp bắt đầu trong 1 tiếng nữa. Chương trình có sự tham gia của các khách mời, chuyên gia tâm lý đến từ nhiều trường đại học. Mời quý phụ huynh, thí sinh tham gia hội thảo tại: https://us02web.zoom.us/j/81558445815 hoặc Zoom ID: 81558445815.Hotline: (028) 7300 5588",1,real,Khác,brandname,1,1,Level 2 - Leet nặng,0.9612493,0.8327915,1,0.9612493,True,1.0,tfidf_char_wb_3_5_logreg_soft_target,0.5492427763471888,0.4507572236528112,0,0.5492427763471888,False,FN
train,ViSmish_03909,"(TPBank) Tu 01/07/22, TPBank dieu chinh DV thong bao Bien dong so du tai khoan - SMS Banking. Xem chi tiet cac goi DV tai websits hoac LH 19006036/1902585885",1,real,Giả mạo ngân hàng,personal_number,0,1,Level 0 - Formal,0.00067992,0.025421057,0,0.99932015,False,0.3,tfidf_char_wb_3_5_logreg_soft_target,0.7071467461544174,0.2928532538455826,0,0.7071467461544174,False,FN
train,ViSmish_04171,Ai muốn xét nghiệm để phát hiện ung thư sớm liên hệ e nhé.,0,external_curated,P2P hard negative,personal_number,0,0,NONE,0.0015934396,0.038415074,0,0.9984066,True,1.0,tfidf_char_wb_3_5_logreg_soft_target,0.4127802271393822,0.5872197728606178,1,0.5872197728606178,False,FP
train,ViSmish_04614,"Vietcombank nhan duoc yeu cau KICH HOAT LAI UNG DUNG VCB DIGIBANK. Neu Quy khach KHONG CHU DONG yeu cau, TUYET DOI KHONG CUNG CAP HOAC XAC NHAN BANG MA OTP de tranh rui ro bi CHIEM DOAT TAI 29,111,111VND luc 25-11-2022 15:26:45. SD 46,027VND. Ret",1,real,Giả mạo ngân hàng,personal_number,0,0,Level 2 - Leet nặng,0.0010595325,0.031540513,0,0.9989405,False,0.3,tfidf_char_wb_3_5_logreg_soft_target,0.7062531431660156,0.2937468568339844,0,0.7062531431660156,False,FN
