item_order,reviewer_id,taxonomy_version,field,value,decision,proposed_value_or_target,comment
1,reviewer_b,2.1.0-rc2,message_domain,banking_finance,accept,,
2,reviewer_b,2.1.0-rc2,message_domain,public_service,accept,,
3,reviewer_b,2.1.0-rc2,message_domain,telecom,accept,,
4,reviewer_b,2.1.0-rc2,message_domain,commerce,accept,,
5,reviewer_b,2.1.0-rc2,message_domain,logistics,accept,,
6,reviewer_b,2.1.0-rc2,message_domain,marketing_promotion,accept,,
7,reviewer_b,2.1.0-rc2,message_domain,employment,accept,,
8,reviewer_b,2.1.0-rc2,message_domain,investment,accept,,
9,reviewer_b,2.1.0-rc2,message_domain,debt_collection,accept,,
10,reviewer_b,2.1.0-rc2,message_domain,gambling,accept,,
11,reviewer_b,2.1.0-rc2,message_domain,adult_service,accept,,
12,reviewer_b,2.1.0-rc2,message_domain,healthcare,accept,,
13,reviewer_b,2.1.0-rc2,message_domain,personal_social,accept,,
14,reviewer_b,2.1.0-rc2,message_domain,other,accept,,
15,reviewer_b,2.1.0-rc2,message_domain,unknown,merge,other,other bao hàm unknown
16,reviewer_b,2.1.0-rc2,sender_type,brandname,accept,,
17,reviewer_b,2.1.0-rc2,sender_type,shortcode,accept,,
18,reviewer_b,2.1.0-rc2,sender_type,personal_number,accept,,
19,reviewer_b,2.1.0-rc2,sender_type,not_applicable,accept,,
20,reviewer_b,2.1.0-rc2,text_phenomena,diacritic_omission,accept,,
21,reviewer_b,2.1.0-rc2,text_phenomena,abbreviation,accept,,
22,reviewer_b,2.1.0-rc2,text_phenomena,teencode,accept,,
23,reviewer_b,2.1.0-rc2,text_phenomena,leetspeak,accept,,
24,reviewer_b,2.1.0-rc2,text_phenomena,character_substitution,merge,leetspeak,cùng pp thay thế kí tự
25,reviewer_b,2.1.0-rc2,text_phenomena,punctuation_insertion,accept,,
26,reviewer_b,2.1.0-rc2,text_phenomena,token_splitting,accept,,
27,reviewer_b,2.1.0-rc2,text_phenomena,token_joining,accept,,
28,reviewer_b,2.1.0-rc2,text_phenomena,homoglyph,accept,,
29,reviewer_b,2.1.0-rc2,text_phenomena,irregular_spacing,accept,,
30,reviewer_b,2.1.0-rc2,text_phenomena,irregular_casing,accept,,
31,reviewer_b,2.1.0-rc2,text_phenomena,character_repetition,accept,,
32,reviewer_b,2.1.0-rc2,text_phenomena,unicode_noise,accept,,
33,reviewer_b,2.1.0-rc2,text_phenomena,code_switching,accept,,
34,reviewer_b,2.1.0-rc2,text_phenomena,natural_typo,accept,,
35,reviewer_b,2.1.0-rc2,obfuscation_techniques,leetspeak,accept,,
36,reviewer_b,2.1.0-rc2,obfuscation_techniques,character_substitution,merge,leetspeak,cùng là tt kí tự
37,reviewer_b,2.1.0-rc2,obfuscation_techniques,punctuation_insertion,accept,,
38,reviewer_b,2.1.0-rc2,obfuscation_techniques,token_splitting,accept,,
39,reviewer_b,2.1.0-rc2,obfuscation_techniques,token_joining,accept,,
40,reviewer_b,2.1.0-rc2,obfuscation_techniques,homoglyph,accept,,
41,reviewer_b,2.1.0-rc2,obfuscation_techniques,irregular_spacing,accept,,
42,reviewer_b,2.1.0-rc2,obfuscation_techniques,irregular_casing,accept,,
43,reviewer_b,2.1.0-rc2,obfuscation_techniques,character_repetition,accept,,
44,reviewer_b,2.1.0-rc2,obfuscation_techniques,unicode_noise,accept,,
45,reviewer_b,2.1.0-rc2,persuasion_tactics,impersonation,accept,,
46,reviewer_b,2.1.0-rc2,persuasion_tactics,urgency,accept,,
47,reviewer_b,2.1.0-rc2,persuasion_tactics,fear,accept,,
48,reviewer_b,2.1.0-rc2,persuasion_tactics,authority,accept,,
49,reviewer_b,2.1.0-rc2,persuasion_tactics,reward_incentive,accept,,
50,reviewer_b,2.1.0-rc2,persuasion_tactics,social_proof,accept,,
51,reviewer_b,2.1.0-rc2,persuasion_tactics,scarcity,accept,,
52,reviewer_b,2.1.0-rc2,persuasion_tactics,threat,accept,,
53,reviewer_b,2.1.0-rc2,persuasion_tactics,credential_request,accept,,
54,reviewer_b,2.1.0-rc2,persuasion_tactics,payment_request,accept,,
55,reviewer_b,2.1.0-rc2,persuasion_tactics,link_lure,accept,,
56,reviewer_b,2.1.0-rc2,persuasion_tactics,off_platform_contact,accept,,
57,reviewer_b,2.1.0-rc2,requested_actions,none,accept,,
58,reviewer_b,2.1.0-rc2,requested_actions,click_or_visit_link,accept,,
59,reviewer_b,2.1.0-rc2,requested_actions,call_phone,accept,,
60,reviewer_b,2.1.0-rc2,requested_actions,reply_message,accept,,
61,reviewer_b,2.1.0-rc2,requested_actions,provide_credentials,merge,provide_personal_information,bằng cấp là 1 tt cá nhân
62,reviewer_b,2.1.0-rc2,requested_actions,provide_personal_information,accept,,
63,reviewer_b,2.1.0-rc2,requested_actions,transfer_money,accept,,
64,reviewer_b,2.1.0-rc2,requested_actions,make_payment,accept,,
65,reviewer_b,2.1.0-rc2,requested_actions,deposit_or_top_up,accept,,
66,reviewer_b,2.1.0-rc2,requested_actions,install_application,accept,,
67,reviewer_b,2.1.0-rc2,requested_actions,contact_off_platform,accept,,
68,reviewer_b,2.1.0-rc2,requested_actions,register_or_sign_up,accept,,
69,reviewer_b,2.1.0-rc2,requested_actions,visit_physical_location,accept,,
70,reviewer_b,2.1.0-rc2,requested_actions,other,accept,,
71,reviewer_b,2.1.0-rc2,requested_actions,unclear,accept,,
72,reviewer_b,2.1.0-rc2,target_age_group,child,accept,,
73,reviewer_b,2.1.0-rc2,target_age_group,adolescent,accept,,
74,reviewer_b,2.1.0-rc2,target_age_group,young_adult,accept,,
75,reviewer_b,2.1.0-rc2,target_age_group,adult,accept,,
76,reviewer_b,2.1.0-rc2,target_age_group,older_adult,accept,,
77,reviewer_b,2.1.0-rc2,target_age_group,general,accept,,
78,reviewer_b,2.1.0-rc2,target_age_group,unknown,accept,,
79,reviewer_b,2.1.0-rc2,target_age_group,not_applicable,accept,,
80,reviewer_b,2.1.0-rc2,target_gender,female,accept,,
81,reviewer_b,2.1.0-rc2,target_gender,male,accept,,
82,reviewer_b,2.1.0-rc2,target_gender,all,accept,,
83,reviewer_b,2.1.0-rc2,target_gender,unknown,accept,,
84,reviewer_b,2.1.0-rc2,target_gender,not_applicable,merge,all,k đối tượng cụ thể=mọi gender đều phù hợp
85,reviewer_b,2.1.0-rc2,target_roles,student,accept,,
86,reviewer_b,2.1.0-rc2,target_roles,job_seeker,accept,,
87,reviewer_b,2.1.0-rc2,target_roles,employee,merge,worker,đều là ng có việc kiếm tiền
88,reviewer_b,2.1.0-rc2,target_roles,worker,accept,,
89,reviewer_b,2.1.0-rc2,target_roles,business_owner,accept,,
90,reviewer_b,2.1.0-rc2,target_roles,customer,accept,,
91,reviewer_b,2.1.0-rc2,target_roles,account_holder,accept,,
92,reviewer_b,2.1.0-rc2,target_roles,debtor,accept,,
93,reviewer_b,2.1.0-rc2,target_roles,investor,accept,,
94,reviewer_b,2.1.0-rc2,target_roles,taxpayer,merge,general_public,mọi ng đều đóng thuế
95,reviewer_b,2.1.0-rc2,target_roles,benefit_recipient,accept,,
96,reviewer_b,2.1.0-rc2,target_roles,patient,accept,,
97,reviewer_b,2.1.0-rc2,target_roles,vehicle_owner,accept,,
98,reviewer_b,2.1.0-rc2,target_roles,shopper,merge,,mọi ng đều mua sắm
99,reviewer_b,2.1.0-rc2,target_roles,retired_person,accept,,
100,reviewer_b,2.1.0-rc2,target_roles,general_public,accept,,
101,reviewer_b,2.1.0-rc2,target_roles,other,accept,,
102,reviewer_b,2.1.0-rc2,target_roles,unknown,accept,,
103,reviewer_b,2.1.0-rc2,target_roles,not_applicable,accept,,
