split,sample_id,content,label,data_origin,teacher_p1_t2,teacher_pred,teacher_confidence,teacher_agree_label,distill_weight,student_model,student_p0,student_p1,student_pred,student_confidence,student_agree_label,error_type
train,train_00036,Tham gia group vui vẻ trên Discord: discord.gg/hntinhnghich,1,paraphrased,0.9795857,1,0.9995659,True,1.0,g2_bilstm_distilled,0.84406364,0.15593636,0,0.84406364,False,FN
train,train_00047,Đơn hàng số SPX2024112567890 của bạn đã đến kho nhưng không thể giao do địa chỉ không đầy đủ. Cập nhật https://vietteltelecomshop.cfd/,1,real,0.9044493,1,0.98896235,True,1.0,g2_bilstm_distilled,0.8003806,0.19961941,0,0.8003806,False,FN
train,train_00067,BẢN ÁN CUỐI CÙNG: Cơ quan PHÁP CHẾ đã khởi tố vụ án liên quan đến hành vi chiếm đoạt tài sản của Ông/Bà. Hạn chót thanh toán là 16h30 hôm nay để tránh khởi tố chính thức. Mọi chậm trễ sẽ dẫn đến hậu quả nghiêm trọng.,1,paraphrased,0.9784055,1,0.99951315,True,1.0,g2_bilstm_distilled,0.5991998,0.40080023,0,0.5991998,False,FN
train,train_00098,[Phong Lao dong Thuong binh Xa hoi] He thong da ghi nhan don khieu nai cua Pham Thi Huong ma so 1234/CV-CT. Vui long goi lai de cap nhat trang thai xu ly.,1,synthetic_hard_negative,0.97593373,1,0.9993923,True,1.0,g2_bilstm_distilled,0.8266906,0.17330939,0,0.8266906,False,FN
train,train_00223,"A goi vao so 1900788938 de noi chuyen va tam su voi em nhe. A goi luon cho em nha, Em co viec, A khong goi khong duoc dau nha!",1,real,0.046870567,0,0.99758756,False,0.3,g2_bilstm_distilled,0.94887835,0.051121674,0,0.94887835,False,FN
train,train_00408,"OCBC: Please allow 1-2 hours for PAYEE MR  J  D O E  to be succesfully added. If this was NOT you, please verify: payee-ocbc.com",1,real,0.94883835,1,0.997101,True,1.0,g2_bilstm_distilled,0.88208956,0.11791045,0,0.88208956,False,FN
train,train_00586,"[Thông báo] Hội thảo trực tuyến ""Không trúng tuyển nguyện vọng yêu thích? Biến nguy thành cơ"" với sự tham gia của các khách mời, chuyên gia tâm lý đến từ nhiều trường đại học đang diễn ra. Để không bỏ lỡ cơ hội được tham dự, lắng nghe và đặt câu hỏi trực tiếp cho các chuyên gia, mời quý phụ huynh & thí sinh truy cập liên kết: https://us02web.zoom.us/j/81558445815. Hotline: (028) 7300 5588",1,real,0.91028917,1,0.99038094,True,1.0,g2_bilstm_distilled,0.5552089,0.4447911,0,0.5552089,False,FN
train,train_00658,"""CẢNH BÁO KHẨN: Đơn vị TỐ TỤNG HÌNH SỰ yêu cầu anh/chị có mặt ngay lập tức tại trụ sở trước 18h hôm nay do nghi vấn vi phạm hợp đồng tài chính. Nếu không tuân thủ, hậu quả pháp lý sẽ được áp dụng theo mức án nghiêm trọng nhất.""",1,paraphrased,0.9788109,1,0.9995316,True,1.0,g2_bilstm_distilled,0.59282935,0.40717062,0,0.59282935,False,FN
train,train_00699,"Viettel: Thue bao 0978123456 dang hoat dong bat thuong. De bao ve tai khoan, vui long goi 0899001122 de doi SIM moi bao mat hoan toan mien phi.",1,synthetic_hard_negative,0.97912896,1,0.99954575,True,1.0,g2_bilstm_distilled,0.5039872,0.49601284,0,0.5039872,False,FN
train,train_00768,"Xin chuc mung TB0912345678 Da trung thuong ""1 IP14s"" trong chuong trinh du thuong cuoi nam Lien He: 1>9>0>0>1>9>9>5 de nhan giai. De nghi LH truoc ngay 28/01",1,real,0.024483504,0,0.9993705,False,0.3,g2_bilstm_distilled,0.7148387,0.28516132,0,0.7148387,False,FN
train,train_00788,ACB: Tran trong thong bao.Tai khoan cua quy khach hien tai da bi khoa.Dang nhap https://online.avbnyt45k.com de xac thuc ngay hom nay.,0,real,0.025123738,0,0.9993363,True,1.0,g2_bilstm_distilled,0.38142216,0.61857784,1,0.61857784,False,FP
train,train_00801,"[GẤP] Thông báo: Tài khoản ngân hàng của ông Trần Văn Nam (Số CMND: 052199008765) đang bị tạm khóa do nợ vay FE Credit 33.211.800VNĐ. Quý khách vui lòng xác thực ngay trong vòng 12 giờ tới, nếu không hệ thống sẽ chuyển hồ sơ sang Phòng thi hành án dân sự xử lý. Liên hệ: 0988776655",1,paraphrased,0.9804545,1,0.99960274,True,1.0,g2_bilstm_distilled,0.5582598,0.4417402,0,0.5582598,False,FN
train,train_00856,"Bà Lê Thị Mai (CCCD: 042093125674), khoản nợ 8,3 triệu đồng tại Mcredit đã quá hạn. Quý khách vui lòng thanh toán trước 16h ngày 15/10, nếu không chúng tôi sẽ cập nhật lịch sử tín dụng của quý khách vào hệ thống CIC và thông báo đến đơn vị công tác. Mọi thắc mắc xin liên hệ 0905678901.",1,paraphrased,0.976076,1,0.99939954,True,1.0,g2_bilstm_distilled,0.87283623,0.12716375,0,0.87283623,False,FN
train,train_00883,"LENH TRUY NA: Can cu tai lieu thu thap duoc, ngay 09/03/2022 Co quan canh sat dieu tra Cong An chi thuc TRUY NA ONG/BA va DONG PHAM ve hanh vi LUA DAO, CAU KET, CHIEM DOAT TAI SAN. NOI TRONG 48H TOI Doi Tuong khong tu giac trinh dien se tien hanh Chuyen giao Khoan Vay cho C0NG TY DOI N0 THUE",1,real,0.97065365,1,0.99908674,True,1.0,g2_bilstm_distilled,0.96074814,0.039251845,0,0.96074814,False,FN
train,train_01163,Bao hiem Xa hoi: He thong phat hien QK co 3 nam dong BHXH chua duoc tinh luong huu. Goi so BH-LD/2025/001 de duoc dieu chinh va nhan tien bu.,1,synthetic_hard_negative,0.96021134,1,0.99828583,True,1.0,g2_bilstm_distilled,0.71174884,0.28825113,0,0.71174884,False,FN
train,train_01191,Thắng Lớn 247 tuyển cộng tác viên hưởng hoa hồng lên đến 60% cho mọi chiến thắng!,1,paraphrased,0.9584046,1,0.9981199,True,1.0,g2_bilstm_distilled,0.9471001,0.0528999,0,0.9471001,False,FN
train,train_01269,"ACB CANH BAO SMS LUA DAO: Hien co thu doan SMS GIA MAO dau so ACB moi KH dang nhap link gia, cung cap USER, MAT KHAU, OTP. ACB HOAN TON KHONG ng tin tren Quy KH https://live hoac tai app Appacb.appstore",1,real,0.63266987,1,0.74788713,True,0.7,g2_bilstm_distilled,0.97223365,0.027766362,0,0.97223365,False,FN
train,train_01552,ViettelPay: Thông báo cập nhật CMND/CCCD. Vui lòng truy cập vietelpay.vn/verify để xác nhận trước 17h.,1,paraphrased,0.97050834,1,0.99907744,True,1.0,g2_bilstm_distilled,0.6962528,0.30374718,0,0.6962528,False,FN
train,train_01564,"Bạn ơi, bạn thanh toán để mình làm hồ sơ cho bạn cho xong trong ngày luôn bạn nhé. Mình đang có vấn đề gì không ạ?",1,real,0.9766003,1,0.99942625,True,1.0,g2_bilstm_distilled,0.8089413,0.19105871,0,0.8089413,False,FN
train,train_01666,"Xin chào, mình làm giám đốc marketing của Tiki, hiện tại cửa hàng Tiki cần tuyển số lượng lớn nhân viên chuyên đặt hàng để nâng cao số lượng giao dịch và thứ hạng của cửa hàng. Chỉ cần có kinh nghiệm mua sắm trực tuyến, mỗi ngày bạn có thể dễ dàng kiếm 800.000 đồng bằng điện thoại di động và tiền lương sẽ được giải quyết ngay",1,real,0.9759059,1,0.99939084,True,1.0,g2_bilstm_distilled,0.583676,0.41632405,0,0.583676,False,FN
train,train_01705,"() **DIGIBANK MSB:** Quý khách vui lòng truy cập ngay https://msb-digibank-verify.com để xác nhận giao dịch mới. Nếu không phải do Quý khách thực hiện, vui lòng hủy ngay.",1,paraphrased,0.98037696,1,0.9995995,True,1.0,g2_bilstm_distilled,0.62363005,0.37636992,0,0.62363005,False,FN
train,train_01851,"Gai Xinh Toan Quoc phuc vu: 3p 69, Bu , Sex lien dit Add Zalo: 588326850 rcdgq",1,real,0.6565271,1,0.7851124,True,0.7,g2_bilstm_distilled,0.5400692,0.4599308,0,0.5400692,False,FN
train,train_01887,[TB] Dieu kien ho tro da du: CHUNG MINH THU/HO KHAU + OTTT COVID. Truy cap ngay: https://covid-19-hotro.vn/NHAN-TIEN. QUA HAN HO TRO SE BI TU CHOI HOAN TOAN!,1,paraphrased,0.96905565,1,0.9989813,True,1.0,g2_bilstm_distilled,0.6307413,0.3692587,0,0.6307413,False,FN
train,train_01889,Chương trình Y tế Quốc gia: Thông báo cấp phát thẻ BHYT thay thế miễn phí. Vui lòng gọi ngay 0933777666 để nhận thẻ khẩn.,1,paraphrased,0.9781863,1,0.9995029,True,1.0,g2_bilstm_distilled,0.5984301,0.4015699,0,0.5984301,False,FN
train,train_01930,Nhan vien co SDT ${driverContact} dang giao DH 299325121788280 den ban. Thanh toan qua ZaloPay de duoc giam ngay 50k. Bam de nhan: https://zalo.me/app/link/9auzpq62k1,0,real,0.19120374,0,0.9470706,True,1.0,g2_bilstm_distilled,0.29573023,0.70426977,1,0.70426977,False,FP
train,train_02076,Nghe máy đi Có chuyện cần nhờ Em là bạn của Tiến đúng ko? A ở cùng nhà vs Tiến E có số người thân của Tiến ko ?. Gửi cho a vs. Gấp e à,1,real,0.97317344,1,0.99924076,True,1.0,g2_bilstm_distilled,0.8681485,0.1318515,0,0.8681485,False,FN
train,train_02157,"Dũng đang ở đâu đấy, mua hộ tớ cái thẻ điện thoại Viettel 100k với, lát tớ bắn lại cho.",1,synthetic_hard_negative,0.9740156,1,0.9992888,True,1.0,g2_bilstm_distilled,0.76912785,0.23087218,0,0.76912785,False,FN
train,train_02189,"(TPBank) Tu 01/07/22, TPBank dieu chinh DV thong bao Bien dong so du tai khoan - SMS Banking. Xem chi tiet cac goi DV tai websits hoac LH 19006036/1902585885",1,real,0.025421057,0,0.99932015,False,0.3,g2_bilstm_distilled,0.9786837,0.021316301,0,0.9786837,False,FN
train,train_02327,TIN KHẨN: Đơn vị chức năng đang rà soát toàn bộ hồ sơ cá nhân do nghi ngờ khai man. Quý khách phải có mặt ngay tại trụ sở trong 12 tiếng tới hoặc gọi ngay 0901234567 để hưởng chính sách giảm nhẹ mức án.,1,paraphrased,0.9801047,1,0.9995881,True,1.0,g2_bilstm_distilled,0.6366618,0.36333817,0,0.6366618,False,FN
train,train_02447,"t.ly/OZQw KM nạp 1 thưởg 1 tỉlệ cượccao,cược tặg 2888ngìn  BpNDa",1,real,0.14750805,0,0.97093046,False,0.3,g2_bilstm_distilled,0.9851207,0.014879311,0,0.9851207,False,FN
train,train_02448,"Chào anh/chị, mình là cộng tác viên của ứng dụng đầu tư ZYX. Anh/chị có muốn nhận về 3tr-6tr mỗi ngày nhờ hình thức sao chép giao dịch không?",1,paraphrased,0.97628284,1,0.99941015,True,1.0,g2_bilstm_distilled,0.6133206,0.38667944,0,0.6133206,False,FN
train,train_02487,"Mời bạn nạp tiền vào ví điện tử có tên ""Siêu Lợi Nhuận"" qua mã QR dưới đây. Chỉ cần 5 triệu đồng, bạn đã sở hữu 1 suất đầu tư sinh lời 20% mỗi ngày. Siêu nhanh chóng và dễ dàng!",1,paraphrased,0.97920406,1,0.9995491,True,1.0,g2_bilstm_distilled,0.6476672,0.35233277,0,0.6476672,False,FN
train,train_02490,ACB: Tran trong thong bao.Tai khoản cua quy khach hien tai da bi khoa.Dang nhap https://onlinenhbidv.com de xac thuc ngay hom,1,real,0.02633923,0,0.9992687,False,0.3,g2_bilstm_distilled,0.5980985,0.4019015,0,0.5980985,False,FN
train,train_02811,[Phong Lao dong Thuong binh Xa hoi] Can lam viec ve ho so BHXH cua Doanh nghiep XYZ. Co so du lieu cho thay co sai sot can chinh sua. Goi 18006699 de dat lich lam viec.,1,synthetic_hard_negative,0.9784387,1,0.9995146,True,1.0,g2_bilstm_distilled,0.65058744,0.34941256,0,0.65058744,False,FN
train,train_02899,"Viettel: Thue bao 0865432109 dang hoat dong bat thuong. De bao ve tai khoan, vui long goi 0899001122 de doi SIM moi bao mat hoan toan mien phi.",1,synthetic_hard_negative,0.9788551,1,0.99953365,True,1.0,g2_bilstm_distilled,0.5609996,0.43900043,0,0.5609996,False,FN
train,train_02901,UUNGDUNG VCB DIGIBANK cua ban duoc PHAT HIEN KICH HOAT tren thiet bi la. Neu KHONG PHAI BAN KICH HOAT vui long bam vao https://vietcombank.vn-ms.top de doi thiet bi hoac huy de tranh mat tai san,1,real,0.9694027,1,0.9990048,True,1.0,g2_bilstm_distilled,0.5079441,0.4920559,0,0.5079441,False,FN
train,train_03032,"Chào anh chị, mình là Tuấn. Cơ hội đầu tư sinh lời đều đặn 1 tỷ đồng mỗi ngày, không cần kinh nghiệm, không rủi ro với sàn SuperTrade.",1,paraphrased,0.9786245,1,0.99952316,True,1.0,g2_bilstm_distilled,0.6187494,0.3812506,0,0.6187494,False,FN
train,train_03079,Vietcombank quý khách hiện có 8237 điểm thưởng đủ để đổi IP 15 128G miễn phí lưu ý điểm thưởng hết hạn vào ngày 19/07 và không thể khôi phục sau ngày hết hạn Vui lòng đổi điểm trc khi mất quyền lợi đg link https://j8sk.vip/doidiemVCB,1,real,0.025810149,0,0.9992986,False,0.3,g2_bilstm_distilled,0.8660103,0.13398966,0,0.8660103,False,FN
train,train_03095,"Vietcombank nhan duoc yeu cau KICH HOAT LAI UNG DUNG VCB DIGIBANK. Neu Quy khach KHONG CHU DONG yeu cau, TUYET DOI KHONG CUNG CAP HOAC XAC NHAN BANG MA OTP de tranh rui ro bi CHIEM DOAT TAI 29,111,111VND luc 25-11-2022 15:26:45. SD 46,027VND. Ret",1,real,0.031540513,0,0.9989405,False,0.3,g2_bilstm_distilled,0.9718233,0.028176742,0,0.9718233,False,FN
train,train_03100,"Kinh gui Phu Huynh thong tin kiem tra tieng Anh, giup dinh huong tot hon cho su phat trien cac ky nang tieng anh cua con: Link https://bit.ly/ibischooltesta",1,real,0.1523643,0,0.96870047,False,0.3,g2_bilstm_distilled,0.7211231,0.2788769,0,0.7211231,False,FN
train,train_03134,"https://amazon.com/a/c/r/pSVKl2Em2soKsJ4ppgOv0PBbk  Amazon: Sign-in from SG, VN. Tap link to respond.",0,real,0.55956477,1,0.6174626,False,0.3,g2_bilstm_distilled,0.47897077,0.52102923,1,0.52102923,False,FP
train,train_03230,"Xin chúc mừng chị là khách hàng may mắn nhận tin vào đúng KHUNG GIỜ 10 PHÚT VÀNG của ""VINFAST"" ngày hôm nay. Chị được nhận ưu đãi mua 1 chiếc xe điện gấp gọn ADO A16 với giá ưu đãi 286.000 (còn miễn phí ship)",1,real,0.96915776,1,0.9989882,True,1.0,g2_bilstm_distilled,0.9359045,0.064095505,0,0.9359045,False,FN
train,train_03249,YH 888b - tang tan thu code 60K trai nghiem ( H6Y1Y1907T39X) choi thang rut ngay. Nap dau tang them 100% cuc hot. jOeR5Rv.Gezne.de i7V,1,real,0.9777115,1,0.99948066,True,1.0,g2_bilstm_distilled,0.58165073,0.41834927,0,0.58165073,False,FN
train,train_03451,"Sơn đang ở đâu đấy, mua hộ tớ cái thẻ điện thoại Viettel 100k với, lát tớ bắn lại cho.",1,synthetic_hard_negative,0.9738184,1,0.99927765,True,1.0,g2_bilstm_distilled,0.72457623,0.27542374,0,0.72457623,False,FN
train,train_03458,"Chào anh/chị, tôi là Linh. Ứng dụng MobiInvest hiện đang tặng 2 triệu khi nạp 5 triệu. Cơ hội sinh lời thụ động 2 triệu/ngày chỉ dành cho 100 người đầu tiên.",1,paraphrased,0.9564379,1,0.9979298,True,1.0,g2_bilstm_distilled,0.5198649,0.48013508,0,0.5198649,False,FN
train,train_03499,dE e jiUP Ank tk0ai m4i  d3m nay t3le: gvhkimngan,1,real,0.669034,1,0.80339324,True,1.0,g2_bilstm_distilled,0.7069483,0.29305172,0,0.7069483,False,FN
train,train_03627,"Chào anh chị, em là Tú đây ạ! Đội mình cung cấp dịch vụ đầu tư tự động sinh lời 20 triệu/ngày. Chỉ cần bỏ ra vài phút đăng ký, chuyên gia sẽ hướng dẫn tận răng từng bước.",1,paraphrased,0.9794844,1,0.9995615,True,1.0,g2_bilstm_distilled,0.59655106,0.40344897,0,0.59655106,False,FN
train,train_03743,"Cty L4T1k F1lmz tuyển gấp nhân viên content TikTok. Nhận từ 15-30 triệu/tháng, lương 1.200.000đ/ngày. Độ tuổi 20-55. Hotline: 0912 345 678",1,paraphrased,0.9798779,1,0.99957854,True,1.0,g2_bilstm_distilled,0.7535649,0.24643509,0,0.7535649,False,FN
train,train_03768,"DIEM NV2 KHONG TOT? BTEC FPT van con 30 co hoi cuoi, theo duoi NGANH HOC YEU THICH Nhan bang Anh Quoc, duoc gioi thieu viec lam btec.fpt.edu.vn/r/du 0329605828",1,real,0.97528493,1,0.99935824,True,1.0,g2_bilstm_distilled,0.94947064,0.050529335,0,0.94947064,False,FN
train,train_03788,"1/6 ap gem DWIN tag c()de 99k. x3 nap lan dau.choi gem bai,nohu,...tai: http://chutjf.space/r/Dbc8O0iBQe LH nhan c()de tele: http://chutjf.space/r/osO0ewBiiX Ac",1,real,0.84421796,1,0.9670706,True,1.0,g2_bilstm_distilled,0.9115236,0.08847639,0,0.9115236,False,FN
train,train_03861,"T128 tr1 2Q t4nj 200k kh1 dky tai n8h88.c0m. S1ng3 P0k3r, ch01 j4. Rut t13n 5 phut",1,paraphrased,0.95940876,1,0.9982132,True,1.0,g2_bilstm_distilled,0.723177,0.27682298,0,0.723177,False,FN
train,train_03925,"Ong/Ba: Trung Tam Tin Dung F& TB de nI So CMND: *** 205. Chung toi nghi ngo Ong/Ba dang lam dung su tin nhiem chiem doat Tai San NHNNVN voi so tien: 48,554,336VND (tien goc). Canh bao lan cuoi truoc 16H Ngay 10/01/2020 thanh toan gap so tien toi thieu: 3,725,583VND cho NHNNVN. Tiep tuc tron tranh, bat hop tac, moi rui ro ve Uy tin, Danh du, Suc khoe tinh than va Tai san, Ong/Ba tu chiu trach nhiem.",1,real,0.9663441,1,0.99878854,True,1.0,g2_bilstm_distilled,0.6625415,0.3374585,0,0.6625415,False,FN
train,train_03942,"Hen h0 tinh m0t dem cung nhung em g@! xinh dep,sinh v!en , van phong ,single mom -. dang cho ban den ! Te|egram;https://sourl.cn/TTqB4A",1,real,0.9787813,1,0.9995303,True,1.0,g2_bilstm_distilled,0.75764954,0.24235044,0,0.75764954,False,FN
train,train_03968,"CHUYEN TIEN MOMO QUA GATE CHO BAN QUY KHACH! Gửi 1.000.000đ -> nhận 999.000đ (99,9%) - Đơn giản, nhanh chóng, tiện lợi! Tải app Momo: https://t.ly/S45xH Lưu ý: không chia sẻ mã này với người khác. Giao dịch này không tính lệ phí.",1,real,0.95836574,1,0.99811625,True,1.0,g2_bilstm_distilled,0.885135,0.114865005,0,0.885135,False,FN
train,train_03970,"Thue bao cua quy khach sap bi tam khoa 2 chieu, do chua nang cap len sim 4G. vui long lam theo huong dan cua nhan vien, de duoc ho tro nang cap mien phi va tiep tuc su dung dich vu. Xin cam on!",1,real,0.86962897,1,0.97801924,True,1.0,g2_bilstm_distilled,0.98302704,0.016972933,0,0.98302704,False,FN
train,train_03980,Bo Cong An: Moi Nguyen Thi Xuan tham du buoi hop ve thu tuc hanh chinh tai tru so. Vui long xac nhan tham du bang cach goi lai so nay.,1,synthetic_hard_negative,0.9776045,1,0.99947554,True,1.0,g2_bilstm_distilled,0.61275935,0.38724065,0,0.61275935,False,FN
train,train_04032,[Vien Kiem sat] Can lam viec ve ho so BHXH cua Nguyen Van Hung. Co so du lieu cho thay co sai sot can chinh sua. Goi 18006699 de dat lich lam viec.,1,synthetic_hard_negative,0.9748605,1,0.99933535,True,1.0,g2_bilstm_distilled,0.50191855,0.49808145,0,0.50191855,False,FN
train,train_04169,"[CANH CAO LAN CUOI]:Chung toi da nhac nho, canh cao nhieu lan nhung thai do cua O/b va nhung nguoi lien quan van bat hop tac.Truoc 17g 15/2 khong tt,Phong AN NINH ĐIỀU TRA se vao cuoc dieu tra toan bo thong tin, hinh anh cua O/B va nhung nguoi co lien quan se phai chiu trach nhiem hinh su. LH 84867256447 gap.",1,real,0.7313658,1,0.8811249,True,1.0,g2_bilstm_distilled,0.8224355,0.17756452,0,0.8224355,False,FN
train,train_04245,[Cong an TP] Can lam viec ve ho so BHXH cua Pham Thi Huong. Co so du lieu cho thay co sai sot can chinh sua. Goi 1234/CV-CT de dat lich lam viec.,1,synthetic_hard_negative,0.9777254,1,0.99948126,True,1.0,g2_bilstm_distilled,0.7405643,0.2594357,0,0.7405643,False,FN
train,train_04287,"[KHẨN CẤP]: Đơn tố cáo về hành vi chiếm đoạt tài sản của quý khách đã được chuyển đến Cơ quan điều tra. Hãy liên hệ ngay trong vòng 2 giờ tới để làm rõ vụ việc, nếu không hồ sơ sẽ được chuyển sang giai đoạn khởi tố.",1,paraphrased,0.9800725,1,0.99958676,True,1.0,g2_bilstm_distilled,0.5258568,0.4741432,0,0.5258568,False,FN
train,train_04318,"[CẢNH BÁO QUAN TRỌNG]: Home Credit nhắc nhở anh Lê Văn Hùng (CMND 031085746392) khoản vay 3.741.200đ đã quá hạn. Chỉ còn 1 giờ nữa (hết hạn 16h30) để thanh toán. Không thanh toán kịp thời, đơn vị thu hồi sẽ liên lạc người thân, nơi làm việc, thậm chí pháp luật can thiệp. Gọi ngay 0948.273.156.",1,paraphrased,0.97976226,1,0.9995735,True,1.0,g2_bilstm_distilled,0.7710838,0.22891624,0,0.7710838,False,FN
train,train_04505,e G4ii mmu0N m4ng l4i ck0 ah su fucc Vu t0t nk4t t3le: tvhhanhthu,1,real,0.9725706,1,0.9992053,True,1.0,g2_bilstm_distilled,0.80119205,0.19880795,0,0.80119205,False,FN
train,train_04662,"Ban van muon biet thong tin các cuộc gọi trong luc tat may, hoac ngoai vung phu song. Hay dang ky ngay dịch vụ MCA (BAO CUỘC GỌI NHO) Soan: DV MCA gui 9084",1,real,0.6833099,1,0.8231811,True,1.0,g2_bilstm_distilled,0.9810055,0.01899453,0,0.9810055,False,FN
train,train_04802,"Xin chào, tôi là trưởng phòng nhân sự của Cty HVS hiện tại Cty đang tuyển dụng nhân viên bán thời gian. Tiền lương được trả hàng ngày. Bạn có thể làm việc tại nhà và thu nhập từ 15tr đến 30tr một tháng bình quân 500k-1tr/ngày , Công việc đơn giản và có thể thực hiện mọi lúc mọi nơi. Để ứng tuyển, vui lòng liên hệ với chúng tôi qua Yêu cầu độ tuổi : 22 - 65tuoori zalo: zalo.me/83924316850 Liên hệ / zalo:83924316850",1,real,0.98052394,1,0.9996056,True,1.0,g2_bilstm_distilled,0.6127789,0.38722107,0,0.6127789,False,FN
train,train_04880,UBND TP.HCM: Moi Nguyen Van Hung tham du buoi hop ve thu tuc hanh chinh tai tru so. Vui long xac nhan tham du bang cach goi lai so nay.,1,synthetic_hard_negative,0.97786635,1,0.9994879,True,1.0,g2_bilstm_distilled,0.65442353,0.34557647,0,0.65442353,False,FN
train,train_04892,"3i Dang Ki Tang 88K, Nap Dau Tang 188K,Va Nhieu Uu Dai Khac. Thang Rut Cuc Nhanh, Chuc AE Thang Lon. tixa1kv.Gezne.de dk",1,real,0.91541755,1,0.99153495,True,1.0,g2_bilstm_distilled,0.60833395,0.39166605,0,0.60833395,False,FN
