split,sample_id,content,label,data_origin,category,sender_type,has_url,has_phone_number,obfuscation_level,teacher_p1_t1,teacher_p1_t2,teacher_pred,teacher_confidence,teacher_agree_label,distill_weight,student_model,student_p0,student_p1,student_pred,student_confidence,student_agree_label,error_type
train,ViSmish_00154,"Hen h0 tinh m0t dem cung nhung em g@! xinh dep,sinh v!en , van phong ,single mom -. dang cho ban den ! Te|egram;https://sourl.cn/TTqB4A",1,real,Nội dung nhạy cảm,personal_number,1,0,Level 4 - Mixed special characters,0.9995303,0.9787813,1,0.9995303,True,1.0,tfidf_char_wb_3_5_logreg_soft_target,0.5515972131361309,0.4484027868638692,0,0.5515972131361309,False,FN
train,ViSmish_01392,"[CANH CAO LAN CUOI]:Chung toi da nhac nho, canh cao nhieu lan nhung thai do cua O/b va nhung nguoi lien quan van bat hop tac.Truoc 17g 15/2 khong tt,Phong AN NINH ĐIỀU TRA se vao cuoc dieu tra toan bo thong tin, hinh anh cua O/B va nhung nguoi co lien quan se phai chiu trach nhiem hinh su. LH 84867256447 gap.",1,real,Đòi nợ / Đe dọa,personal_number,0,0,Level 2 - Leet nặng,0.8811249,0.7313658,1,0.8811249,True,1.0,tfidf_char_wb_3_5_logreg_soft_target,0.5320220559715361,0.46797794402846393,0,0.5320220559715361,False,FN
train,ViSmish_01531,e G4ii mmu0N m4ng l4i ck0 ah su fucc Vu t0t nk4t t3le: tvhhanhthu,1,real,Nội dung nhạy cảm,personal_number,0,0,Level 2 - Leet nặng,0.9992053,0.9725706,1,0.9992053,True,1.0,tfidf_char_wb_3_5_logreg_soft_target,0.5133773238360021,0.4866226761639979,0,0.5133773238360021,False,FN
train,ViSmish_02310,Su dung cuoc mien phi khong can nap S73qtEP ! Cuoc vào 3+ su kien (ty le tu 1.4). Hieu luc den 23.08 Kiem tra tai Cài dat tài khoan. https://slim.link/CbB DLS,1,real,Cờ bạc / Betting,personal_number,1,0,Level 0 - Formal,0.0027669112,0.05003861,0,0.9972331,False,0.3,tfidf_char_wb_3_5_logreg_soft_target,0.6614871484386562,0.3385128515613438,0,0.6614871484386562,False,FN
train,ViSmish_02728,"Ban van muon biet thong tin các cuộc gọi trong luc tat may, hoac ngoai vung phu song. Hay dang ky ngay dịch vụ MCA (BAO CUỘC GỌI NHO) Soan: DV MCA gui 9084",1,real,Khác,personal_number,0,0,Level 0 - Formal,0.8231811,0.6833099,1,0.8231811,True,1.0,tfidf_char_wb_3_5_logreg_soft_target,0.775566648978094,0.224433351021906,0,0.775566648978094,False,FN
train,ViSmish_03249,San pham trong gio hang cua ban van chua duoc thanh toan. Thanh toan ngay de duoc giao hang som: https://go.cps.onl/2n3tbjwe . Ho tro: 18002097,1,real,Khác,brandname,1,1,Level 0 - Formal,0.9994159,0.97639364,1,0.9994159,True,1.0,tfidf_char_wb_3_5_logreg_soft_target,0.5371818470161723,0.46281815298382767,0,0.5371818470161723,False,FN
train,ViSmish_03446,"Hội thảo trực tuyến trên nền tảng Zoom với chủ đề ""Không trúng tuyển nguyện vọng yêu thích? Biến nguy thành cơ"" sắp bắt đầu trong 1 tiếng nữa. Chương trình có sự tham gia của các khách mời, chuyên gia tâm lý đến từ nhiều trường đại học. Mời quý phụ huynh, thí sinh tham gia hội thảo tại: https://us02web.zoom.us/j/81558445815 hoặc Zoom ID: 81558445815.Hotline: (028) 7300 5588",1,real,Khác,brandname,1,1,Level 2 - Leet nặng,0.9612493,0.8327915,1,0.9612493,True,1.0,tfidf_char_wb_3_5_logreg_soft_target,0.5543363920591067,0.4456636079408934,0,0.5543363920591067,False,FN
train,ViSmish_03909,"(TPBank) Tu 01/07/22, TPBank dieu chinh DV thong bao Bien dong so du tai khoan - SMS Banking. Xem chi tiet cac goi DV tai websits hoac LH 19006036/1902585885",1,real,Giả mạo ngân hàng,personal_number,0,1,Level 0 - Formal,0.00067992,0.025421057,0,0.99932015,False,0.3,tfidf_char_wb_3_5_logreg_soft_target,0.7102212727349979,0.28977872726500215,0,0.7102212727349979,False,FN
train,ViSmish_04171,Ai muốn xét nghiệm để phát hiện ung thư sớm liên hệ e nhé.,0,external_curated,P2P hard negative,personal_number,0,0,NONE,0.0015934396,0.038415074,0,0.9984066,True,1.0,tfidf_char_wb_3_5_logreg_soft_target,0.4109801000276121,0.5890198999723879,1,0.5890198999723879,False,FP
train,ViSmish_04614,"Vietcombank nhan duoc yeu cau KICH HOAT LAI UNG DUNG VCB DIGIBANK. Neu Quy khach KHONG CHU DONG yeu cau, TUYET DOI KHONG CUNG CAP HOAC XAC NHAN BANG MA OTP de tranh rui ro bi CHIEM DOAT TAI 29,111,111VND luc 25-11-2022 15:26:45. SD 46,027VND. Ret",1,real,Giả mạo ngân hàng,personal_number,0,0,Level 2 - Leet nặng,0.0010595325,0.031540513,0,0.9989405,False,0.3,tfidf_char_wb_3_5_logreg_soft_target,0.7101362797388608,0.2898637202611392,0,0.7101362797388608,False,FN
train,ViSmish_04940,"DIEN LUC thong bao khach hàng Nguyễn Hoàng AnhPE12DN0456789, co tong so hoa don 1, voi tong tien 607262dong. De nghi Quy khach thanh toan trong vong 2 ngay ke tu khi nhan duoc tin nhan. Neu Quy khach da thanh toan, vui long bo qua tin nhan nay.",1,real,Dịch vụ công giả,brandname,0,0,Level 1 - Leet nhẹ,0.032771613,0.15545574,0,0.96722835,False,0.3,tfidf_char_wb_3_5_logreg_soft_target,0.6175357341612815,0.3824642658387185,0,0.6175357341612815,False,FN
train,ViSmish_04995,"ACB CANH BAO SMS LUA DAO: Hien co thu doan SMS GIA MAO dau so ACB moi KH dang nhap link gia, cung cap USER, MAT KHAU, OTP. ACB HOAN TON KHONG ng tin tren Quy KH https://live hoac tai app Appacb.appstore",1,real,Giả mạo ngân hàng,personal_number,1,0,Level 2 - Leet nặng,0.74788713,0.63266987,1,0.74788713,True,0.7,tfidf_char_wb_3_5_logreg_soft_target,0.6522793024308102,0.3477206975691898,0,0.6522793024308102,False,FN
train,ViSmish_05130,"HUIT – Chuc mung Ban da TRUNG TUYEN CHINH THUC! Moi ban den HUI nhap hoc tu ngay 18/8 den 17h00 ngay 27/8/2024. Dong thoi, HUIT tang ngay uu dai 3 trieu dong danh cho 2.000 thi sinh nhap học som nhat. Tra cuu ket qua tai: huit.edu.vn/kqtt. Lien he: 02871085555, 0949981717, Zalo:",1,real,Khác,brandname,1,1,Level 2 - Leet nặng,0.06064245,0.20260361,0,0.9393576,False,0.3,tfidf_char_wb_3_5_logreg_soft_target,0.5822825344158488,0.41771746558415124,0,0.5822825344158488,False,FN
train,ViSmish_05675,Em Hà day. Goi lai vao so 0978123456 em co viec gap.,0,real,Tin nhắn cá nhân và OTP,personal_number,0,1,NONE,0.00053634564,0.022640867,0,0.9994636,True,1.0,tfidf_char_wb_3_5_logreg_soft_target,0.4239897859700943,0.5760102140299057,1,0.5760102140299057,False,FP
train,ViSmish_06125,"[TPBank] Quý khách có 1,000 điểm thưởng sắp hết hạn. Truy cập ngay App TPBank để đổi sang dặm phí thường niên.",0,synthetic,Ngân hàng thật,brandname,0,0,NONE,0.0009214965,0.029474996,0,0.9990785,True,1.0,tfidf_char_wb_3_5_logreg_soft_target,0.4826737806042347,0.5173262193957653,1,0.5173262193957653,False,FP
train,ViSmish_06205,"OCBC: Please allow 1-2 hours for PAYEE MR  J  D O E  to be succesfully added. If this was NOT you, please verify: payee-ocbc.com",1,real,Giả mạo ngân hàng,brandname,1,0,Level 2 - Leet nặng,0.997101,0.94883835,1,0.997101,True,1.0,tfidf_char_wb_3_5_logreg_soft_target,0.5566566573917724,0.4433433426082276,0,0.5566566573917724,False,FN
train,ViSmish_06526,"LENH TRUY NA: Can cu tai lieu thu thap duoc, ngay 09/03/2022 Co quan canh sat dieu tra Cong An chi thuc TRUY NA ONG/BA va DONG PHAM ve hanh vi LUA DAO, CAU KET, CHIEM DOAT TAI SAN. NOI TRONG 48H TOI Doi Tuong khong tu giac trinh dien se tien hanh Chuyen giao Khoan Vay cho C0NG TY DOI N0 THUE",1,real,Đòi nợ / Đe dọa,personal_number,0,0,Level 2 - Leet nặng,0.99908674,0.97065365,1,0.99908674,True,1.0,tfidf_char_wb_3_5_logreg_soft_target,0.6081918468703955,0.3918081531296045,0,0.6081918468703955,False,FN
train,ViSmish_06698,"Thue bao cua quy khach sap bi tam khoa 2 chieu, do chua nang cap len sim 4G. vui long lam theo huong dan cua nhan vien, de duoc ho tro nang cap mien phi va tiep tuc su dung dich vu. Xin cam on!",1,real,Khác,personal_number,0,0,Level 0 - Formal,0.97801924,0.86962897,1,0.97801924,True,1.0,tfidf_char_wb_3_5_logreg_soft_target,0.7461205975045622,0.25387940249543783,0,0.7461205975045622,False,FN
train,ViSmish_07203,"Xin Quý khách hãy lưu ý, Vietcombank KHÔNG gửi tin nhắn SMS đi kèm các đường link đăng nhập dịch vụ VCB Digibank. Các tin nhắn có đường link đăng nhập dịch vụ ĐỀU LÀ GIẢ MẠO. Quý khách tuyệt đối KHÔNG BẤM vào đường link nếu nhận được tin nhắn có nội dung nêu trên. Vui lòng tham khảo thêm thông tin tại đây: bit.ly/smsmaodanh",0,real,Ngân hàng thật,personal_number,1,0,NONE,0.0009012316,0.029158313,0,0.9990988,True,1.0,tfidf_char_wb_3_5_logreg_soft_target,0.2794224281887274,0.7205775718112726,1,0.7205775718112726,False,FP
train,ViSmish_07545,[ĐẠI HỌC NGOẠI THƯƠNG] CHÚC MỪNG EM ĐÃ ĐỦ ĐIỀU KIỆN TRÚNG TUYỂN Chương trình Đào tạo Quốc tế với 2 chuyên ngành: - Báo chí & Truyền thông Đại chúng - Kinh doanh & Thương mại Quốc tế Để lại email để nhận hướng dẫn hồ sơ nhập học. SĐT/ZALO: 0906 888 948 (Ban tuyển sinh),0,real,Khác,personal_number,0,1,NONE,0.8902887,0.7401689,1,0.8902887,False,0.3,tfidf_char_wb_3_5_logreg_soft_target,0.3966943221455028,0.6033056778544972,1,0.6033056778544972,False,FP
