sample_id,content,label,has_url,has_phone_number,sender_type,category,obfuscation_level,data_origin,source_dataset,source_file,source_row_id
phase1_02322,"[TRUNG TÂM PHÒNG CHỐNG GIAN LẬN NGÂN HÀNG] Ông/Bà Nguyễn Văn Minh Trước 17h ngày hôm nay không thanh toán dứt điểm số tiền quá hạn 910.046 VNĐ. Chúng tôi đơn phương chấm dứt hợp đồng vay và gửi hồ sơ về Nhân viên thu hồi nợ tại nhà. Cùng Chính Quyền Địa Phương Huyện Bình Chánh xuống nhà tại địa chỉ cư trú Quận Gò Vấp, TP.HCM. Thanh lý hết tổng số tiền 19.137.909 VNĐ. Mọi chi phí phát sinh Ông/bà hoàn toàn chịu trách nhiệm.",LEVEL 0 – Không obfuscation (formal),1,0,0,personal_number,Đòi nợ/Đe doạ,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,0
phase1_02323,"[TB] Tien ich Loi nhan thoai cua Viettel: Quy khach co loi nhan tu TB 0848836182 vao luc 08:09 27/03/2025. Voi noi dung: kính chào quý khách đây là cuộc gọi tự động từ ngân hàng FE Credit nhằm hỗ trợ thông tin khoản vay quý khách vui lòng nghe hết cuộc gọi và làm theo hướng dẫn để hệ thống ghi nhận cam kết thanh toán quý khách hiện có khoản vay quán hạn cao ngày nhất là 450 ngày tổng số tiền quá hạn cần thanh toán trong hôm nay là 6367474 đồng quý khách vui lòng thanh toán ngay hôm nay để tránh bị chuyển nhóm nợ cao hơn và ảnh hưởng đến việc vay vốn tại các tổ chức tín dụng nếu quý khách đã thanh toán vui lòng bấm phím một cam kết thanh toán ngay hôm nay vui lòng nhấn phím hai cần gặp tổng đài viên vui lòng nhấn phím ba kính chúc quý khách một ngày tốt lành xin cảm ơn và tạm biệt quý khách kính chào quý khách đây là cuộc gọi tự động từ ngân hàng... De nghe loi nhan thoai, vui long bam goi 106226 (mien phi).",LEVEL 0 – Không obfuscation (formal),1,0,1,shortcode,Đòi nợ/Đe doạ,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,1
phase1_02324,Western Union TB: Vietcombank: 0071000986547. Trần Thị Lan. Ref +19.56 USD. Nhận 500.000 VND. Ngay 02/02/2025. Mgd: 1057425286. Nd: COC TIEN HANG. Quý khách nhận tiền VND vào website: https://sites.google.com/view/chuyennhantiennhanhquocte24h7,LEVEL 0 – Không obfuscation (formal),1,1,0,personal_number,Giả mạo ngân hàng,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,2
phase1_02325,"Bắc, tài khoản tài chính của bạn đã được thêm vào. Tài khoản: Nay128 Mật khẩu: yk6698 USDT Số dư: 1,080,096.50 [ ehoaq. com ] Vui lòng giữ nó ở nơi an toàn.",LEVEL 0 – Không obfuscation (formal),1,1,0,personal_number,Đầu tư/Crypto giả,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,3
phase1_02326,"[CANH CAO LAN CUOI]:Chung toi da nhac nho, canh cao nhieu lan nhung thai do cua O/b va nhung nguoi lien quan van bat hop tac.Truoc 17g 15/2 khong tt,Phong AN NINH ĐIỀU TRA se vao cuoc dieu tra toan bo thong tin, hinh anh cua O/B va nhung nguoi co lien quan se phai chiu trach nhiem hinh su. LH 84867256447 gap.",LEVEL 0 – Không obfuscation (formal),1,0,0,personal_number,Đòi nợ/Đe doạ,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,4
phase1_02327,"Nhan thay co hanh vi LOI DUNG TIN NHIEM, CHIEM DOAT TAI SAN. yc tt gap truoc 13g 16/2/2025, neu van bat hop tac ben toi ban giao HS den Trung Tam Quan Ly No Quoc Gia CIC (gay anh huong den uy tin- danh du- tai san- gia dinh va nhung nguoi co lien quan) toan bo hinh anh, bang chung vi pham. LH 0867256447 de giai quyet.",LEVEL 0 – Không obfuscation (formal),1,0,0,personal_number,Đòi nợ/Đe doạ,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,5
phase1_02328,ACB: Tai khoan cua ban da mo dich vu tai chinh toan cau phi dich vu hang thang la 2.000.000VND se bi tru trong 2 gio .Neu khong phai ban mo dich vu vui long nhan vao https://acb-online-center.6app de huy,LEVEL 0 – Không obfuscation (formal),1,1,0,brandname,Giả mạo ngân hàng,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,6
phase1_02329,Vietinbank tran trong thong bao tai khoan cua quy khach hien tai da bi khoa. Dang nhap qua http://www.vniatinbanks.cc de xac thuc ngay hom nay,LEVEL 0 – Không obfuscation (formal),1,1,0,brandname,Giả mạo ngân hàng,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,7
phase1_02330,"Nhờ nhắn lại Trần Văn Đức 24/05/2004. SĐT: 0912345678, ra thanh toán khoản nợ 2.040.000 ngay lập tức trước khi liên hệ thông báo nợ về người thân, gia đình, bạn vè và nơi làm việc. Liên hệ Zalo: 0708922540 để được giải quyết giảm lãi thanh toán nợ",LEVEL 0 – Không obfuscation (formal),1,0,1,personal_number,Đòi nợ/Đe doạ,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,8
phase1_02331,"Xin chào, có phải bạn đang muốn tìm công việc không? Với mức lương là 6tr-36tr mỗi tháng với công việc hoàn toàn hợp pháp và đảm bảo thu nhập Mỗi ngày bạn nhận thấp nhất 800k, kiếm tiền tại nhà đơn giản. zalo.me/84918759421 Dưới 23 tuổi vui lòng không liên hệ tham gia. Nếu như bạn có nhu cầu vui lòng liên hệ zalo ID Dịch vụ 1 với 1: 84918759421",LEVEL 0 – Không obfuscation (formal),1,1,1,personal_number,Tuyển dụng giả,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,9
phase1_02332,Th0ng ba0:BIDV nang cap he thong. Vui l0ng dang nhap https://b0dv.xyz va nang cap. Neu kh0ng tai khoa se bi kh0a. aabd,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),1,1,0,personal_number,Giả mạo ngân hàng,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,10
phase1_02333,VCB Digibank tran trong thong bao tai khoan cua quy khach hien tai da bi khoa. Dang nhap www.vcbielbiok.com de xac thuc ngay hom nay,LEVEL 0 – Không obfuscation (formal),1,1,0,personal_number,Giả mạo ngân hàng,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,11
phase1_02334,"Bộ giao thông vận tải,xin thông báo ông/bà có biên lai chưa nộp phạt.Hôm nay là thông báo cuối cùng.Yêu cầu nhanh chóng giải quyết mọi thắc mắc Vui lòng liên hệ : 0782320830",LEVEL 0 – Không obfuscation (formal),1,0,1,brandname,Dịch vụ công giả,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,12
phase1_02335,(Vietcombank)Chung toi phat hien tai khoan cua ban dang tieu dung o nuoc ngoai .Neu khong phai ban dang tieu dung vui long nhap vao https://i-vietcombank.com,LEVEL 0 – Không obfuscation (formal),1,1,0,brandname,Giả mạo ngân hàng,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,13
phase1_02336,"HUIT-Chucmung Ban da TRUNG TUYEN CHINH THUC! Moi ban den HUIT nhap hoc tu ngay 18/8 den 17h00 ngay 27/8/2024. Dong thoi HUIT tang ngay uu dai 3 trieu dong danh cho 2.000 thi sinh nhap hoc som nhat. Tra cuu ket qua tai: huit.edu.vn/kqtt. Lien hẹ: 02871085555, 0949981717, Zalo:",LEVEL 0 – Không obfuscation (formal),1,1,1,brandname,Khác,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,14
phase1_02337,"Ngan Hang VPBANK THONG BAO. Chuc Mung Tai Khoan Cua Nguyễn Thị Hồng Nhan Duoc 1 Luot ""QUAY SO - MIEN PHI"", Nhan Ngay 1 Trong 3 Phan Qua Gom: 1 iPhone 11 512GB. 1 Tivi LG 4k 55inch. 10 Trieu Dong Vao Tai Khoan. Truy Cap Website: https://login-onlien.com.vn/ De Thuc Hien Luot QUAY SO MAY MAN MIEN PHI.Goi Vao 1900 54 54 15.Xin Cam On!",LEVEL 0 – Không obfuscation (formal),1,1,1,personal_number,Giả mạo ngân hàng,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,15
phase1_02338,Chung toi phat hien tai khoan cua ban dang tieu dung o nuoc ngoai .Neu khong phai ban dang tieu dung vui long nhap vao https://v-acb.com de huy thanh toan,LEVEL 0 – Không obfuscation (formal),1,1,0,brandname,Giả mạo ngân hàng,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,16
phase1_02339,Chung toi phat hien tai khoan cua ban dang tieu dung o nuoc ngoai .Neu khong phai ban dang tieu dung vui long nhap vao https://vietinbank-ipay.com de huy thanh toan,LEVEL 0 – Không obfuscation (formal),1,1,0,brandname,Giả mạo ngân hàng,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,17
phase1_02340,Tài khoản của bạn đã mở dịch vụ tài chính toàn cầu phí dịch vụ hàng tháng là 2.000.000 VND sẽ bị trừ trong 2 giờ. Nếu không phải bạn mở dịch vụ vui lòng nhấn vào https://vietinbank-vips.com để hủy,LEVEL 0 – Không obfuscation (formal),1,1,0,brandname,Giả mạo ngân hàng,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,18
phase1_02341,"Để chào mừng năm mới, Kim Long tặng ngay 68-888K khi đăng ký tại: d82yy.com, hãy liên hệ CSKH để nhận. Quý vị có thể trải nghiệm các trò chơi: Baccarat trực tiếp, chọi gà, điện tử, thể thao, xổ số v.v. Gửi và rút tiền trong vòng 3 phút, CSKH 24/24",LEVEL 0 – Không obfuscation (formal),1,1,0,personal_number,Cờ bạc/Betting,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,19
phase1_02342,"Kính gửi người dùng Vietinbank, tài khoản của bạn sẽ bị tạm ngưng sử dụng vào trưa ngày mai. Vui lòng đăng nhập www.vietinbank.vip để nâng cấp",LEVEL 0 – Không obfuscation (formal),1,1,0,brandname,Giả mạo ngân hàng,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,20
phase1_02343,Trân trọng thông báo tới Quý khách! Tài khoản của bạn sẽ bị tạm ngưng dịch vụ vào ngày 1 tháng 11. Quý khách nhanh chóng đăng nhập vào https://vietinbank.top để cập nhật trực tuyến.,LEVEL 0 – Không obfuscation (formal),1,1,0,brandname,Giả mạo ngân hàng,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,21
phase1_02344,"Kính gửi người dùng AmyBanK, điểm tài khoản của bạn đã được đổi thành điều kiện quà tặng. Vui lòng đăng nhập www.vietinbank.vip ngay để đổi quà. Nếu quá hạn, nó sẽ không được chấp nhận.",LEVEL 0 – Không obfuscation (formal),1,1,0,brandname,Giả mạo ngân hàng,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,22
phase1_02345,"LENH TRUY NA: Can cu tai lieu thu thap duoc, ngay 09/03/2022 Co quan canh sat dieu tra Cong An chi thuc TRUY NA ONG/BA va DONG PHAM ve hanh vi LUA DAO, CAU KET, CHIEM DOAT TAI SAN. NOI TRONG 48H TOI Doi Tuong khong tu giac trinh dien se tien hanh Chuyen giao Khoan Vay cho C0NG TY DOI N0 THUE",LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),1,0,0,personal_number,Đòi nợ/Đe doạ,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,23
phase1_02346,Tai khoan cua ban da mo dich vu tai chinh toan cau phi dich vu hang thang la 2.000.000VND se bi tru trong 2 gio. Neu khong phai ban mo dich vu vui long nhan vao https://svip-acb.com de huy,LEVEL 0 – Không obfuscation (formal),1,1,0,brandname,Giả mạo ngân hàng,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,24
phase1_02347,"Phat hien tai khoan cua ban dang nhap khac vung bat thuong ,vui long dang nhap https://acb-vn.net de xac nhan thong tin va thay doi mat khau",LEVEL 0 – Không obfuscation (formal),1,1,0,brandname,Giả mạo ngân hàng,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,25
phase1_02348,"Chào chị. Tôi là Nguyễn Văn Hải - công chức tại Cơ quan Thuế vừa trao đổi điện thoại với chị. Để làm tờ khai thuế online, mời chị truy cập và tải app của Cơ quan tại link: thuedientuu.vn Sau khi đã tải app xong, hãy phản hồi lại tin nhắn này để chúng tôi trao đổi và hướng dẫn các bước tiếp theo.",LEVEL 0 – Không obfuscation (formal),1,1,0,personal_number,Dịch vụ công giả,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,26
phase1_02349,Ong/(Ba) da du d!eu'k!en NHAN'TIEN ho tro tu quy-BHTN. Bam'vao www.opaxa.icu de_'lay. QUA-HAN' SE KH0ng DUOC CHAP_NAHN! JKqc,LEVEL 2 – Leet nặng + tên riêng,1,1,0,personal_number,BHXH/Trợ cấp giả,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,27
phase1_02350,Tai khoan cua ban da mo dich vu tai chinh toan cau phi dich vu hang thang la 2.000.000VND se bi tru trong 2 gio. Neu khong phai ban mo dich vu vui long nhan vao https://techcombank.vn-pl.top de huy,LEVEL 0 – Không obfuscation (formal),1,1,0,brandname,Giả mạo ngân hàng,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,28
phase1_02351,Ong(Ba) da du d!eu k!en NHAN T1EN h0 tro tu quy BHTN. Bam vao www.mvndc.icude lay. QUA HAN SE KH0NG_DUOC CHAP NHAN! oZGa,LEVEL 0 – Không obfuscation (formal),1,1,0,personal_number,BHXH/Trợ cấp giả,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,29
phase1_02352,"Xin chào, tôi là trưởng phòng nhân sự của Cty HVS hiện tại Cty đang tuyển dụng nhân viên bán thời gian. Tiền lương được trả hàng ngày. Bạn có thể làm việc tại nhà và thu nhập từ 15tr đến 30tr một tháng bình quân 500k-1tr/ngày , Công việc đơn giản và có thể thực hiện mọi lúc mọi nơi. Để ứng tuyển, vui lòng liên hệ với chúng tôi qua Yêu cầu độ tuổi : 22 - 65tuoori zalo: zalo.me/83924316850 Liên hệ / zalo:83924316850",LEVEL 0 – Không obfuscation (formal),1,1,1,personal_number,Tuyển dụng giả,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,30
phase1_02353,"Xin chào, tôi là trưởng phòng nhân sự của Cty HVS hiện tại Cty đang tuyển dụng nhân viên bán thời gian. Tiền lương được trả hàng ngày. Bạn có thể làm việc tại nhà và thu nhập từ 15tr đến 30tr một tháng bình quân 500k-1tr/ngày , Công việc đơn giản và có thể thực hiện mọi lúc mọi nơi. Để ứng tuyển, vui lòng liên hệ với chúng tôi qua Yêu cầu độ tuổi : 22 - 65tuoori zalo: zalo.me/84921053445 Liên hệ / zalo:84921053445",LEVEL 0 – Không obfuscation (formal),1,1,1,personal_number,Tuyển dụng giả,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,31
phase1_02354,"Phat hien tai khoan cua ban dang nhap khac vung bat thuong ,vui long dang nhap https://vn-vietinbank.com de xac nhan thong tin va thay doi mat khau",LEVEL 0 – Không obfuscation (formal),1,1,0,brandname,Giả mạo ngân hàng,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,32
phase1_02355,"Xin chào bạn, tôi là trưởng phòng nhân sự, hiện công ty đang tuyển nhân viên làm việc bán thời gian. Tiền lương được trả trong ngày. Bạn có thể làm việc tại nhà và kiếm từ 15 triệu đến 30 triệu mỗi tháng, trung bình 500.000-1 triệu mỗi ngày,Công việc đơn giản và có thể thực hiện mọi lúc mọi nơi. Để đăng ký, vui lòng liên hệ với chúng tôi theo!",LEVEL 0 – Không obfuscation (formal),1,0,0,personal_number,Tuyển dụng giả,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,33
phase1_02356,"Xin chào , Bạn có muốn tìm công việc bán thời gian không ? Với mức lương 5tr-30tr 1 tháng mỗi ngày ít nhất 500k không phí phụ thu. công việc đơn giản, làm việc tại nhà nếu bạn muốn tham gia với công việc này xin liên hệ ngay vào zalo ID:84394699827 dưới 23t xin vui lòng không tham gia",LEVEL 0 – Không obfuscation (formal),1,0,1,personal_number,Tuyển dụng giả,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,34
phase1_02357,"Vietcombank lưu ý: Bạn có 18699 điểm thưởng sẽ hết hạn sau 24 giờ, vui lòng truy cập: https://vietcombankd.cfd/vn để đổi quà.",LEVEL 0 – Không obfuscation (formal),1,1,0,brandname,Giả mạo ngân hàng,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,35
phase1_02358,Tiktok đang tuyển nhân viên làm việc tại nhà ! ! ! Mô tả công việc: Xử lý đơn hàng ứng dụng của Tiktok. Thu nhập trong ngày 350 - 999k / ngày Thao tác đơn giản và bạn có thể nhận tiền sau 13 - 25 phút. Các bạn có nhu cầu tham gia xin liên hệ zalo.me/84937441240 zalo:84937441240,LEVEL 0 – Không obfuscation (formal),1,1,1,personal_number,Tuyển dụng giả,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,36
phase1_02359,UNG DUNG VCB DIGIBANK cua ban duoc PHAT HIEN KICH HOAT tren thiet bi la .Neu KHONG PHA BAN KICH HOAT vui long bam vao https://vietcombank.vn-ms.top de doi thiet bi hoac huy de tranh mat tai san,LEVEL 0 – Không obfuscation (formal),1,1,0,brandname,Giả mạo ngân hàng,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,37
phase1_02360,"Tài khoản của bạn đã đăng ký chương trình quảng cáo trên TikTok, mỗi tháng thu phí 3,600,000 VND. Vui lòng vào https://shb.vn-ibs.xyz để kiểm tra hoặc để hủy",LEVEL 0 – Không obfuscation (formal),1,1,0,brandname,Giả mạo ngân hàng,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,38
phase1_02361,"CANH BAO LAN CUOI!!! Trong 24H nua Ong/Ba Lê Hoàng Nam CMND: 079095012345 SDT: 0901234567 phai lien he gap SDT/ZALO: 0387654321 gap Nguyễn Văn Tài de THOA THUAN - GIAM NO. Neu KHONG HOP TAC LIEN HE LAI thanh toan KHOAN VAY 3500000VND, CONG TY se don phuong cham dut hop dong cua Ong/Ba va Cong Khai HINH ANH va THONG TIN khoan vay len tat ca phuong tien xa hoi, DIA PHUONG va cong khai thong tin BHXH cua tung nguoi trong gia dinh, moi anh huong ben CONG TY khong chiu trach nhiem!!!",LEVEL 0 – Không obfuscation (formal),1,0,1,personal_number,Đòi nợ/Đe doạ,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,39
phase1_02362,"Phat hien tai khoan cua ban dang nhap khac vung bat thuong, vui long dang nhap http://i-sacombank.com de xac nhan thong tin va thay doi mat khau",LEVEL 0 – Không obfuscation (formal),1,1,0,brandname,Giả mạo ngân hàng,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,40
phase1_02363,"Thue bao cua quy khach sap bi tam khoa 2 chieu, do chua nang cap len sim 4G. vui long lam theo huong dan cua nhan vien, de duoc ho tro nang cap mien phi va tiep tuc su dung dich vu. Xin cam on!",LEVEL 0 – Không obfuscation (formal),1,0,0,personal_number,Khác,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,41
phase1_02364,"tORKiM! ay:Ma""n;N,ha7lXklq,uoacx.tech*;G^ja*nh$ap! nhan:thu""0g;Ho,ngbao'a~n^t*o$n!hayP3m56",LEVEL 5 – Extreme noise,1,1,0,personal_number,Cờ bạc/Betting,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,42
phase1_02365,"ỢờỘỤ ĐặngNh_Ảp Chỗ'iNga_y TPNỜH'Ủ NhắnLỉX_ị 8888(Kắ) FrỀ'ễ .ĐẵngK""Ỵ Tặi*i<fr3e.win/z1r5Dd> ậỗọặ",LEVEL 5 – Extreme noise,1,1,0,personal_number,Cờ bạc/Betting,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,43
phase1_02366,"Tai khoan cua ban da dang ky chuong trinh quang cao tren Tiktok, moi thang thu phi 2,250,000 VND. Vui long vao https://msb.vn-cvs.top de kiem tra hoac de huy",LEVEL 0 – Không obfuscation (formal),1,1,0,brandname,Giả mạo ngân hàng,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,44
phase1_02367,"GR N'ha'nL,jen:Qu.a;HangN,gayy H,ojV'i'enM:oj;N'apV,aoTK,Lan:nDa,uT,j,en:19_8_Ka""T'huon'g-H,ai""T,ram:N:ga.n fK. U,WI.Nqo6;6f7fxxfz.r-kl.com T",LEVEL 5 – Extreme noise,1,1,0,personal_number,Cờ bạc/Betting,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,45
phase1_02368,"j)t.ly/Q5YuG Um Cu,u~Th,ua8% ZJ Na.pVao-LanD:au,UuDa'j:8Tr8 PJ wz8:88.Bma Gu.i_C:OT~6OKa:H'SD;2_4H[[H6MW9KD1X191> zHoa'n,Tr'a~1,4% Ge",LEVEL 5 – Extreme noise,1,1,0,personal_number,Cờ bạc/Betting,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,46
