sample_id,content,label,has_url,has_phone_number,sender_type,category,obfuscation_level,data_origin,source_dataset,source_file,source_row_id
phase1_06148,"Chào các bạn, nếu đang cần tìm kiếm người bạn đời hay những dịch vụ giải trí nhạy cảm tại khu vực Sài Gòn, hãy truy cập ngay địa chỉ: [https://H.C.M-Zalo.em-moi.sg/](https://H.C.M-Zalo.em-moi.sg/) để khám phá nhiều lựa chọn hấp dẫn nhé!",1,0,0,personal_number,Nội dung nhạy cảm,LEVEL 3 – Dot/dash insertion,paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_06148
phase1_07945,"Chào bạn! Mình là trưởng nhóm tuyển dụng tại Shopee Express, đang cần tuyển 10 vị trí cộng tác viên xử lý đơn hàng và kiểm tra chất lượng sản phẩm. Mức thu nhập hấp dẫn 1.000.000đ/ngày, thanh toán ngay sau khi hoàn thành công việc. Độ tuổi từ 18-55. Đăng ký ngay: zalo.me/84912367890",1,1,1,personal_number,Tuyển dụng giả,LEVEL 0 – Không obfuscation (formal),paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_07945
phase1_01925,"[TB] NẠP THẺ ONLINE - DATA XÀI NGAY! Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 15/10/2025. Tiền KM sử dụng truy cập Internet trong 15 ngày. CT áp dụng khi nạp thẻ online qua các ví điện tử, ứng dụng thanh toán hoặc tại https://viettel.vn/pay/tt . Chi tiết gọi 197, bấm phím 19 (0đ). Trân trọng.",0,1,0,brandname,Viễn thông,NONE,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,1929
phase1_07858,Cục CSGT: Tài khoản của bạn trong hệ thống xử phạt vi phạm giao thông đã bị tạm khóa do nghi vấn thông tin. Truy cập ngay: csgtnn.com để xác nhận danh tính và mở khóa ngay hôm nay.,1,1,0,shortcode,Dịch vụ công giả,NONE,paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_07858
hardneg_00653,"Tùng ơi Thảo nè, đang kẹt quá cho mượn tạm một ít vào VPBank 1122334455 chiều mai trả nhé.",1,0,0,personal_number,Khác,LEVEL 0 – Không obfuscation (formal),synthetic_hard_negative,synthetic_hard_label_1,synthetic_hard_label_1.csv,130
phase1_07062,"MSB Alert: Tài khoản của quý khách có dấu hiệu đăng nhập bất thường từ IP lạ. Để đảm bảo an toàn, vui lòng truy cập ngay msb-online.vip để cập nhật mật khẩu ngay hôm nay.",1,1,0,brandname,Giả mạo ngân hàng,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),paraphrased,synthetic_label_1,data/synthetic/synthetic_label_1.csv,phase1_07062
phase1_02397,https://www.google.com/search?q=cash688299.com t.h.u.o.n .g.108.-.188.k....B.E.A.N.,1,1,0,personal_number,Cờ bạc/Betting,NONE,real,real_label_1,data/ground_truth/dataset_label_1_with_categories.csv,75
phase1_04367,Lotteria: Nhận ngay 10 điểm L.Point khi giới thiệu bạn bè đăng ký thành viên và phát sinh chi tiêu tại Lotteria. Điểm dùng đổi quà đến hết 31/12/2025. lotteria.vn.,0,1,0,brandname,Quảng cáo hợp lệ,NONE,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,1800
phase1_00747,"[TB] Cảm ơn Quý khách đã đồng hành trong thời gian qua, Viettel kính tặng Quý khách 20% phí đăng ký gói V120N:  Soạn V120N gửi 191: Giảm còn 96K/30 ngày (giá gốc 120K) có 120GB (4GB/ngày), miễn phí gọi điện (chi tiết gói cước tại www.myvt.vn/V120N ). DV gia hạn với giá gốc sau 30 ngày. CT áp dụng với lần đầu tiên đăng ký đến hết 28/11 cho TB của Quý khách. LH 198 (0đ).",0,1,0,shortcode,Viễn thông,NONE,real,real_label_0,data/ground_truth/dataset_label_0_with_categories.csv,747
phase1_02799,[GHN] GHNR240522003: Dang phan loai tai kho Binh Duong. Du kien giao 24/05 (tu 8h-18h). LH 18006328.,0,0,1,brandname,Vận chuyển,NONE,synthetic,synthetic_label_0,data/synthetic/synthetic_label_0.csv,231
