split,sample_id,content,label,data_origin,category,sender_type,has_url,has_phone_number,obfuscation_level,teacher_p1_t2,teacher_pred,teacher_confidence,teacher_agree_label,distill_weight,student_model,student_p0,student_p1,student_pred,student_confidence,student_agree_label,error_type
train,ViSmish_00085,[Cong an TP] Can lam viec ve ho so BHXH cua Pham Thi Huong. Co so du lieu cho thay co sai sot can chinh sua. Goi 1234/CV-CT de dat lich lam viec.,1,synthetic_hard_negative,Dịch vụ công giả,brandname,0,0,Level 2 - Leet nặng,0.9777254,1,0.99948126,True,1.0,char_bilstm_distilled,0.577441,0.42255902,0,0.577441,False,FN
train,ViSmish_00147,Chuc mung ban da dang ky thanh cong TK S-Student: giam them den 10% + tang goi AI Hay Pro tri gia 1.59Tr. Kham pha ngay: https://go.cps.onl/mkajt89m,0,real,Khác,brandname,1,0,NONE,0.025723726,0,0.99930334,True,1.0,char_bilstm_distilled,0.10943127,0.89056873,1,0.89056873,False,FP
train,ViSmish_00291,"(QC) Tang 200MB truy cap internet va co hoi NHAN 500.000d vao tai khoan goc khi soan XN1 gui 5282 dang ky goi data giai tri ngay Mydata. KHONG GIOI HAN data toc do cao luot Facebook, TikTok, Youtube, Spotify, Instagram... voi ung dung Mydata. Uu dai data su dung trong 24h. Cuoc phi chi 3.000d/ngay, gia han theo ngay. Chi tiet truy cap http://mydata.viettel.vn hoac LH 198 (0d). Tu choi QC, soan TC4 gui 199.",0,real,Quảng cáo hợp lệ,brandname,1,0,NONE,0.022774272,0,0.9994572,True,1.0,char_bilstm_distilled,0.33853924,0.66146076,1,0.66146076,False,FP
train,ViSmish_00369,MTTQ VIET NAM: Keu goi chung tay ung ho dong bao khac phuc hau qua thien tai. So TK: 0011001932418 tai Vietcombank. Thong tin minh bach tai mttqvietnam.org.vn.,0,synthetic,Dịch vụ công thật,brandname,1,0,NONE,0.02633621,0,0.99926895,True,1.0,char_bilstm_distilled,0.34642375,0.65357625,1,0.65357625,False,FP
train,ViSmish_00506,Thí sinh Trần Nguyễn Nam Hải thân mến . Kỳ tuyển sinh bổ sung  đợt 1: chỉ còn 05 ngày cho thí sinh xét tuyển nguyện vọng yêu thích vào ĐH FPT  hệ chính quy 2022 . Nếu bạn quan tâm vui lòng liên hệ fanpage:https://www.facebook.com/fptu.hcm hoặc holine 02873005588 để được tư vấn. trân trọng!,0,real,Khác,brandname,1,1,NONE,0.42338604,0,0.64971286,True,0.7,char_bilstm_distilled,0.05897832,0.9410217,1,0.9410217,False,FP
train,ViSmish_00608,ACB: Tran trong thong bao.Tai khoan cua quy khach hien tai da bi khoa.Dang nhap https://online.avbnyt45k.com de xac thuc ngay hom nay.,0,real,Khác,brandname,1,0,NONE,0.025123738,0,0.9993363,True,1.0,char_bilstm_distilled,0.23028779,0.7697122,1,0.7697122,False,FP
train,ViSmish_01214,"TB CẤP BÁCH: Tài khoản của anh Trường (CMND: 182937456) đang nợ 8.200.000 VND tại HD Saison. Nếu trước 15h ngày 28/11 không thanh toán, chúng tôi sẽ công khai thông tin cá nhân trên toàn bộ mạng xã hội và gửi đến mọi tổ chức tín dụng.",1,paraphrased,Đòi nợ / Đe dọa,personal_number,0,0,Level 0 - Formal,0.9790476,1,0.99954224,True,1.0,char_bilstm_distilled,0.6934943,0.3065057,0,0.6934943,False,FN
train,ViSmish_01925,"BHXH gui thong bao: Ho so BH-LD/2025/001 da duoc duyet 4,500,000 VND boi thuong tai nan lao dong. Vui long goi lai so nay de xac nhan nhan tien.",1,synthetic_hard_negative,BHXH / Trợ cấp giả,brandname,0,0,Level 2 - Leet nặng,0.97859734,1,0.99952185,True,1.0,char_bilstm_distilled,0.5328196,0.4671804,0,0.5328196,False,FN
train,ViSmish_01954,"Bạn ơi, bạn thanh toán để mình làm hồ sơ cho bạn cho xong trong ngày luôn bạn nhé. Mình đang có vấn đề gì không ạ?",1,real,Khác,personal_number,0,0,Level 0 - Formal,0.9766003,1,0.99942625,True,1.0,char_bilstm_distilled,0.51800966,0.48199034,0,0.51800966,False,FN
train,ViSmish_02108,"https://amazon.com/a/c/r/pSVKl2Em2soKsJ4ppgOv0PBbk  Amazon: Sign-in from SG, VN. Tap link to respond.",0,real,Khác,brandname,1,0,NONE,0.55956477,1,0.6174626,False,0.3,char_bilstm_distilled,0.23417836,0.76582164,1,0.76582164,False,FP
train,ViSmish_02219,Chat Zalo: 0987654321 để kết nối với dịch vụ tư nhân nhanh chóng.,1,paraphrased,Nội dung nhạy cảm,personal_number,1,0,Level 0 - Formal,0.97511566,1,0.9993492,True,1.0,char_bilstm_distilled,0.5740372,0.4259628,0,0.5740372,False,FN
train,ViSmish_02310,Su dung cuoc mien phi khong can nap S73qtEP ! Cuoc vào 3+ su kien (ty le tu 1.4). Hieu luc den 23.08 Kiem tra tai Cài dat tài khoan. https://slim.link/CbB DLS,1,real,Cờ bạc / Betting,personal_number,1,0,Level 0 - Formal,0.05003861,0,0.9972331,False,0.3,char_bilstm_distilled,0.8961668,0.10383321,0,0.8961668,False,FN
train,ViSmish_02488,"Trung Tam Tin Dung F& TB den Ong/Ba: So CMND: *** 20U. Chung toi nghi ngo Ong/Ba dang lam dung su tin nhiem chiem doat Tai San NHNNVN voi so tien: 48,554,336VND (tien goc). Canh bao lan cuoi truoc 16H Ngay 10/01/2020 thanh toan gap so tien toi thieu: 3,725,583VND cho NHNNVN. Tiep tuc tron tranh, bat hop tac, moi rui ro ve Uy tin, Danh du, Suc khoe tinh than va Tai san, Ong/Ba tu chiu trach nhiem.",1,real,Đòi nợ / Đe dọa,personal_number,0,0,Level 2 - Leet nặng,0.95931506,1,0.9982046,True,1.0,char_bilstm_distilled,0.70139706,0.29860297,0,0.70139706,False,FN
