similarity,sample_id_a,sample_id_b,content_a,content_b
0.9996194243431091,phase1_09004,phase1_09016,[T.B] Bo LD-TB-XH: ong (B4) da du z!3u k!3n nh4n t13n h0 tr0 tu quy BHTN. Nhan tai: mo.mnbvc.com. QUA HAN SE KHONG DUOC CHAP NHAN! xS5z,[T.B] Bo LD-TB-XH: ong (B4) da du z!3u k!3n nh4n t13n h0 tr0 tu quy BHTN. Nhan tai: mo.mnbvc.com. QUA HAN SE KHONG DUOC CHAP NHAN! xS8z
0.9994938373565674,phase1_09008,phase1_09020,BHXH VN: ong (B4) da du z!3u k!3n nh4n t13n h0 tr0 tu quy BHTN. Bam vao www.qwerty.icu. QUA HAN SE KHONG DUOC CHAP NHAN! nB2v,BHXH VN: ong (B4) da du z!3u k!3n nh4n t13n h0 tr0 tu quy BHTN. Bam vao www.qwerty.icu. QUA HAN SE KHONG DUOC CHAP NHAN! nB5v
0.9986343383789062,phase1_06916,phase1_06908,"EMIME Company tuyển nhân viên bán thời gian. Thu nhập 500k-1 triệu đồng/ngày. Làm tại nhà, tuổi 22-65. Liên hệ Zalo: zalo.me/84901234531","EMIME Company tuyển nhân viên bán thời gian. Thu nhập 500k-1 triệu đồng/ngày. Làm tại nhà, tuổi 22-65. Liên hệ Zalo: zalo.me/84901234523"
0.9982815980911255,phase1_05791,phase1_05806,[Bảo hiểm xã hội] Ông (Bà) đã đủ điều kiện nhận tiền hỗ trợ từ quỹ Bảo hiểm thất nghiệp theo Nghị quyết 116. Bấm vào www.mnbvc.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!,[Bảo hiểm xã hội] Ông (Bà) đã đủ điều kiện nhận tiền từ quỹ Bảo hiểm thất nghiệp theo Nghị quyết 116. Bấm vào www.mnbvc.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
0.9979676008224487,phase1_09683,phase1_09696,Cty HVS tuyen nh4n vien ban thoi g14n. Luong 500k-1tr/ngay. Khong yeu cau kinh nghiem. Tuoi 23-65. Zalo: zalo.me/84777889900 Zalo: 84777889900,Cty HVS tuyen nh4n vien ban thoi g14n. Luong 500k-1tr/ngay. Khong yeu cau kinh nghiem. Tuoi 23-65. Zalo: zalo.me/84577889900 Zalo: 84577889900
0.9978688955307007,phase1_05811,phase1_05819,Bảo hiểm xã hội: Ông (Bà) đã đủ điều kiện nhận tiền từ quỹ Bảo hiểm thất nghiệp. Bấm vào www.asdfgh.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!,Bảo hiểm xã hội: Ông (Bà) đã đủ điều kiện nhận tiền hỗ trợ từ quỹ Bảo hiểm thất nghiệp. Bấm vào www.asdfgh.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
0.9976170063018799,phase1_06904,phase1_06920,Shopee tuyển nhân viên xử lý đơn hàng và đánh giá sản phẩm. Thu nhập 800.000 đồng/ngày. Tuổi 22-60. Liên hệ Zalo: zalo.me/84901234519,Shopee tuyển nhân viên xử lý đơn hàng và đánh giá sản phẩm. Thu nhập 800.000 đồng/ngày. Tuổi 22-60. Liên hệ Zalo: zalo.me/84901234535
0.9972913265228271,phase1_09684,phase1_09697,"EMIME Company tuyen g4p CTV. Luong 800k/ngay, nh4n t13n lien. Tuoi 22-60. Zalo: zalo.me/84788990011 Zalo: 84788990011","EMIME Company tuyen g4p CTV. Luong 800k/ngay, nh4n t13n lien. Tuoi 22-60. Zalo: zalo.me/84588990011 Zalo: 84588990011"
0.9968836903572083,phase1_05822,phase1_05815,Quyết định Bảo hiểm xã hội: Ông (Bà) đã đủ điều kiện nhận tiền từ Bảo hiểm thất nghiệp. Bấm vào www.mnbvcx.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!,Quyết định Bảo hiểm xã hội: Ông (Bà) đã đủ điều kiện nhận tiền từ quỹ Bảo hiểm thất nghiệp. Bấm vào www.mnbvcx.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!
0.9965989589691162,phase1_09023,phase1_09011,H0~tro^BHTN: BAN*da-du-D!EU_K!EN nh4n-T1EN tu quy BHTN. Bam vao www.lkjhg.icu. QUA-HAN SE KH0NG_DUOC CHAP_NHAN! rT5y,H0~tro^BHTN: BAN*da-du-D!EU_K!EN nh4n-T1EN tu quy BH#TN. Bam vao www.lkjhg.icu. QUA-HAN SE KH0NG_DUOC CHAP_NHAN! rT2y
