item_order,reviewer_id,taxonomy_version,field,value,decision,proposed_value_or_target,comment
1,reviewer_a,2.1.0-rc2,message_domain,banking_finance,accept,,
2,reviewer_a,2.1.0-rc2,message_domain,public_service,accept,,
3,reviewer_a,2.1.0-rc2,message_domain,telecom,accept,,
4,reviewer_a,2.1.0-rc2,message_domain,commerce,merge,comemerce_logistics,"Tin nhắn vận đơn thường đồng thời chứa ngữ cảnh mua bán, thanh toán và giao nhận nên khó phân tách ổn định."
5,reviewer_a,2.1.0-rc2,message_domain,logistics,merge,comemerce_logistics,"Tin nhắn vận đơn thường đồng thời chứa ngữ cảnh mua bán, thanh toán và giao nhận nên khó phân tách ổn định."
6,reviewer_a,2.1.0-rc2,message_domain,marketing_promotion,accept,,QC/khuyến mãi chung; không phải QC từ 1 trong các miền chuyên biệt như banking/telecom.
7,reviewer_a,2.1.0-rc2,message_domain,employment,accept,,
8,reviewer_a,2.1.0-rc2,message_domain,investment,accept,,
9,reviewer_a,2.1.0-rc2,message_domain,debt_collection,accept,,
10,reviewer_a,2.1.0-rc2,message_domain,gambling,accept,,
11,reviewer_a,2.1.0-rc2,message_domain,adult_service,accept,,
12,reviewer_a,2.1.0-rc2,message_domain,healthcare,accept,,
13,reviewer_a,2.1.0-rc2,message_domain,personal_social,accept,,
14,reviewer_a,2.1.0-rc2,message_domain,other,accept,,
15,reviewer_a,2.1.0-rc2,message_domain,unknown,accept,,
16,reviewer_a,2.1.0-rc2,sender_type,brandname,accept,,
17,reviewer_a,2.1.0-rc2,sender_type,shortcode,accept,,
18,reviewer_a,2.1.0-rc2,sender_type,personal_number,accept,,
19,reviewer_a,2.1.0-rc2,sender_type,not_applicable,accept,,
20,reviewer_a,2.1.0-rc2,text_phenomena,diacritic_omission,accept,,
21,reviewer_a,2.1.0-rc2,text_phenomena,abbreviation,accept,,"Viết tắt quy ước, không phải teencode, homoglyph"
22,reviewer_a,2.1.0-rc2,text_phenomena,teencode,accept,,
23,reviewer_a,2.1.0-rc2,text_phenomena,leetspeak,merge,character_substitution,đều là thay ký tự
24,reviewer_a,2.1.0-rc2,text_phenomena,character_substitution,accept,,
25,reviewer_a,2.1.0-rc2,text_phenomena,punctuation_insertion,accept,,chèn dấu câu vào giữa một từ/các từ
26,reviewer_a,2.1.0-rc2,text_phenomena,token_splitting,rename,whitespace_splitting,tách 1 từ thành nhiều nhỏ lẻ bằng khoảng trắng
27,reviewer_a,2.1.0-rc2,text_phenomena,token_joining,rename,word_concatenation,nối ghép từ bằng cách xoá khoảng trắng giữa từ
