norm_id,source_text,normalized_text,validation_status,validation_issues,manual_status,label,category,obfuscation_level,data_origin,source_dataset
sms_norm_05021,[JT] JT776655443322: Shipper se den lay hang luc 16:30. Quy khach vui long chuan bi kien hang.,[JT] JT776655443322: Shipper sẽ đến lấy hàng lúc 16:30. Quý khách vui lòng chuẩn bị kiện hàng.,pass,,generated,0,Vận chuyển,NONE,synthetic,synthetic_label_0
sms_norm_05022,BEST Express: BEST7766554433 se den lay hang luc 11:00. Vui long chuan bi kien hang san sang.,BEST Express: BEST7766554433 sẽ đến lấy hàng lúc 11:00. Vui lòng chuẩn bị kiện hàng sẵn sàng.,pass,,generated,0,Vận chuyển,NONE,synthetic,synthetic_label_0
sms_norm_05023,"MoMo: Bạn có quà tặng hoàn tiền 10% tối đa 20.000đ khi thanh toán hóa đơn Điện, Nước qua ví MoMo. Thời hạn sử dụng đến hết ngày 31/05/2025. Chi tiết tại momo.vn.","MoMo: Bạn có quà tặng hoàn tiền 10% tối đa 20.000 đồng khi thanh toán hóa đơn điện, nước qua ví MoMo. Thời hạn sử dụng đến hết ngày 31/05/2025. Chi tiết tại momo.vn.",pass,,generated,0,Quảng cáo hợp lệ,NONE,synthetic,synthetic_label_0
sms_norm_05024,WinMart: Tặng voucher 50.000đ cho hóa đơn từ 500.000đ khi khách hàng quét mã thanh toán bằng GrabPay. Ưu đãi kết thúc ngày 20/07/2025. Truy cập winmart.com.vn.,WinMart: Tặng voucher 50.000 đồng cho hóa đơn từ 500.000 đồng khi khách hàng quét mã thanh toán bằng GrabPay. Ưu đãi kết thúc ngày 20/07/2025. Truy cập winmart.com.vn.,pass,,generated,0,Quảng cáo hợp lệ,NONE,synthetic,synthetic_label_0
sms_norm_05025,Grab: Ưu đãi hoàn tiền 15% tối đa 30.000đ khi thanh toán dịch vụ GrabFood bằng ví Moca hoặc thẻ liên kết. Hạn dùng đến 15/05/2025. Soan TU CHOI gui 8069.,Grab: Ưu đãi hoàn tiền 15% tối đa 30.000 đồng khi thanh toán dịch vụ GrabFood bằng ví Moca hoặc thẻ liên kết. Hạn dùng đến 15/05/2025. Soạn TU CHỌI gửi 8069.,pass,,generated,0,Quảng cáo hợp lệ,NONE,synthetic,synthetic_label_0
sms_norm_05026,ZaloPay: Bạn được tặng mã hoàn tiền 50% tối đa 20.000đ khi nạp tiền điện thoại từ 50.000đ trên ứng dụng ZaloPay. Hạn dùng đến 31/10/2025. Xem tại zalopay.vn.,ZaloPay: Bạn được tặng mã hoàn tiền 50% tối đa 20.000 đồng khi nạp tiền điện thoại từ 50.000 đồng trên ứng dụng ZaloPay. Hạn dùng đến 31/10/2025. Xem tại zalopay.vn.,pass,,generated,0,Quảng cáo hợp lệ,NONE,synthetic,synthetic_label_0
sms_norm_05027,Lotteria: Thưởng thức Combo Gà Rán chỉ với 89.000đ khi thanh toán bằng ví MoMo. Chương trình áp dụng đến hết ngày 25/12/2025. Chi tiết: lotteria.vn.,Lotteria: Thưởng thức Combo Gà Rán chỉ với 89.000 đồng khi thanh toán bằng ví MoMo. Chương trình áp dụng đến hết ngày 25/12/2025. Chi tiết: lotteria.vn.,pass,,generated,0,Quảng cáo hợp lệ,NONE,synthetic,synthetic_label_0
sms_norm_05028,ShopeePay: Nhận ngay voucher giảm 10% khi đặt vé xem phim trên app Shopee và thanh toán qua ví ShopeePay. Hạn dùng đến 30/04/2025. Hotline: 19001221.,ShopeePay: Nhận ngay voucher giảm 10% khi đặt vé xem phim trên app Shopee và thanh toán qua ví ShopeePay. Hạn dùng đến 30/04/2025. Hotline: 19001221.,pass,,generated,0,Quảng cáo hợp lệ,NONE,synthetic,synthetic_label_0
sms_norm_05029,Co.opmart: Tặng 100 điểm thưởng vào thẻ thành viên khi thanh toán hóa đơn qua ví ZaloPay từ 500.000đ. Áp dụng đến ngày 31/03/2025. Hotline: 1900555568.,Co.opmart: Tặng 100 điểm thưởng vào thẻ thành viên khi thanh toán hóa đơn qua ví ZaloPay từ 500.000 đồng. Áp dụng đến ngày 31/03/2025. Hotline: 1900555568.,pass,,generated,0,Quảng cáo hợp lệ,NONE,synthetic,synthetic_label_0
sms_norm_05030,McDonald's: Mua 1 tặng 1 Burger bò khi thanh toán bằng thẻ Visa qua ứng dụng Grab. Ưu đãi dành cho thành viên đến hết ngày 28/02/2025. Xem menu tại mcdonalds.vn.,McDonald's: Mua 1 tặng 1 Burger bò khi thanh toán bằng thẻ Visa qua ứng dụng Grab. Ưu đãi dành cho thành viên đến hết ngày 28/02/2025. Xem menu tại mcdonalds.vn.,pass,,generated,0,Quảng cáo hợp lệ,NONE,synthetic,synthetic_label_0
