sample_id,content,challenge_group,annotator_a_scope_decision,annotator_a_label,annotator_a_evidence,annotator_a_confidence,annotator_a_reason,annotator_a_needs_discussion,annotator_b_scope_decision,annotator_b_label,annotator_b_evidence,annotator_b_confidence,annotator_b_reason,annotator_b_needs_discussion,scope_agree,effective_outcome_a,effective_outcome_b,effective_outcome_agree,queue_reason,final_scope_decision,final_label,adjudication_reason,scope_policy_change_required
phase1_00261,Hi,minimal_content,accepted,0,Hi,high,Chào hỏi,1,accepted,0,,high,an toan,0,1,accepted_label_0,accepted_label_0,1,annotator_a_discussion,accepted,0,Đưa vào queue để thảo luận thêm; sau thảo luận thống nhất quyết định cuối.,no
phase1_00506,"[TB] Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 15/09/2023. CT áp dụng khi nạp thẻ online qua các ví điện tử, ứng dụng thanh toán hoặc tại https://km.vtmoney.vn/314y/kmdaitra . Tiền KM sử dụng liên lạc nội mạng trong 15 ngày. Chi tiết gọi 197 bấm phím 19 (0đ). Trân trọng.",debt_threat,accepted,0,Tặng 20% giá trị tất cả thẻ nạp ,high,TB hợp pháp,0,accepted,1,,high,qc cua nha mang,1,1,accepted_label_0,accepted_label_1,0,outcome_disagreement|annotator_b_discussion,accepted,0,gán nhầm,no
phase1_00531,"Yeah. Chuc mung Ban da co co hoi trung vang giai thuong tri gia len den 67.100.000VND tu chuong trinh Ngay Vang Viettel Money cho giao dich Mua data Viettel hom nay. Ma du thuong chinh la so dien thoai 0867256447 cua Ban, hay don cho Than Tai go cua vao luc 18h30 moi ngay nhe! Chi tiet chuong trinh va theo doi ket qua trung thuong tai http://viettelmoney.vn/ngayvang2023",opportunity_ambiguous,accepted,0,chuong trinh Ngay Vang Viettel Money cho giao dich Mua data Viettel hom nay,medium,Hợp lệ chỉ vì tên thương hiệu hợp pháp,1,accepted,1, 67.100.000VND,high,hinh thuc trung thuong gia de lua dao,0,1,accepted_label_0,accepted_label_1,0,outcome_disagreement|annotator_a_discussion,accepted,1,Nội dung phản ánh hình thức lừa đảo trúng thưởng,"Xét tổng thể ngữ cảnh, không vì brandname mà quyết định auto nhãn 0"
phase1_00639,Ok e,minimal_content,accepted,0,Ok e,high,P2P ,1,accepted,0,,high,bth thoi,0,1,accepted_label_0,accepted_label_0,1,annotator_a_discussion,accepted,0,Đưa vào queue để thảo luận thêm; sau thảo luận thống nhất quyết định cuối.,no
phase1_00752,Ok em,minimal_content,accepted,0,Ok em,high,P2P ,1,accepted,0,qc,high,tn vo hai,0,1,accepted_label_0,accepted_label_0,1,annotator_a_discussion,accepted,0,Đưa vào queue để thảo luận thêm; sau thảo luận thống nhất quyết định cuối.,no
phase1_00977,Ok em .Hihi,minimal_content,accepted,0,Ok em .Hihi,high,P2P ,1,accepted,0,,high,tn vui ve hoy,0,1,accepted_label_0,accepted_label_0,1,annotator_a_discussion,accepted,0,Đưa vào queue để thảo luận thêm; sau thảo luận thống nhất quyết định cuối.,no
phase1_01043,0968422623: lovely baby,minimal_content,excluded_language_scope,,lovely baby,high,Eng > 50%,1,accepted,0,,high,tin nhan hoi dua tinh,0,0,excluded_language_scope,accepted_label_0,0,outcome_disagreement|annotator_a_discussion,excluded_language_scope,,eng > 50%,no
phase1_01069,"[QC] NẠP THẺ LIỀN TAY, NHẬN NGAY QUÀ KHỦNG 1.Thẻ mệnh giá dưới 50.000đ, tặng 6GB/3 ngày: 3GB trên các hạ tầng (ST15K)+3GB trên 4G 2.Thẻ mệnh giá từ 50.000đ trở lên, tặng 14GB/7 ngày: 7GB trên các hạ tầng (ST30K)+7GB trên 4G CT áp dụng với THẺ NẠP ĐẦU TIÊN trong ngày 08/04 cho TB của Quý khách. LH 198 (0đ). Từ chối QC, soạn TC1 gửi 199",heavy_noise_context,accepted,0,,high,QC hợp pháp,0,accepted,0,[QC],high,"qc vo hai, k url, sdt",0,1,accepted_label_0,accepted_label_0,1,low_or_missing_confidence,accepted,0,Quên ghi confidence,no
phase1_01759,(TB) Chuc Mung Quy Khach da dang ky thanh cong goi KM_D3 trên app My VNPT. Thong tin chi tiet truy cap My VNPT http://onelink.to/v58hh4 hoac lien he 18001091,heavy_noise_context,accepted,0,dang ky thanh cong goi KM_D3 trên app My VNPT,high,tb đky gói dịch vụ,0,accepted,1, http://onelink.to/v58hh4,medium,"link khong co brandname, co the lua dao",1,1,accepted_label_0,accepted_label_1,0,outcome_disagreement|annotator_b_discussion,accepted,0,Khác nhãn,Không đánh giá hoàn toàn theo link mà đánh giá toàn ngữ cảnh
phase1_01856,A lô,minimal_content,accepted,0,A lô,high,P2P ,1,accepted,0,,high,k co j,0,1,accepted_label_0,accepted_label_0,1,annotator_a_discussion,accepted,0,Đưa vào queue để thảo luận thêm; sau thảo luận thống nhất quyết định cuối.,no
phase1_02022,"Tai khoan cua QK da duoc nap 10,000d tu VNPT MONEY vao 07/10/2025 14:16:13. Ma giao dich 2386315099. Chi tiet lien he CSKH 18001091 (0d) hoac truy cap https://my.vnpt.com.vn/app",legitimate_security_like,accepted,0,"Tai khoan cua QK da duoc nap 10,000d tu VNPT MONEY ",high,Thông báo giao dịch nạp tiền bình thường,0,accepted,1,,high,nd bth,1,1,accepted_label_0,accepted_label_1,0,outcome_disagreement|annotator_b_discussion,accepted,0,Gán nhầm,no
