content,label,has_url,has_phone_number,sender_type,category,level
[TB] BHXH: Ban da du d!eu k!en nh4n t1en h0 tr0 tu wy BHTN nq-116. Bam vao www.zkxpw.icu. QUA HAN KHONG DUOC CHAP NHAN! xR7p,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
Ong (Ba) da du d!eu k1en NH4N T1EN ho tro tu wy BHTN. Bam vao www.qpwnm.icu de l4y. QUA HAN KHONG DUOC CHAP NHAN. aS9k,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
Quy BH-TN: Ban da du d!eu k1en nh4n t1en h0 tr0 theo NQ-116. Bam vao www.lkytr.icu. QUA HAN KHONG DUOC CHAP NHAN. mZ4w,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
[BHXH] Quyet dinh BHXH: Ong(Ba) da du d!eu k1en nh4n t1en. Bam vao www.vnbgt.icu. QUA HAN KHONG DUOC CHAP NHAN. kP1o,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
BHXH_VN: Ban da du d!eu k1en nh4n t1en h0 tr0 BHTN. Bam vao www.mkhgf.icu. QUA HAN KHONG DUOC CHAP NHAN. rT8y,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
[T.B] BHXH: Ban da du d!eu k1en nh4n t1en h0 tr0 tu wy BHTN. Bam vao www.cxzsq.icu. QUA HAN KHONG DUOC CHAP NHAN! qW3e,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
NQ-116: Ong (Ba) da du d!eu k1en nh4n t1en h0 tr0 tu wy BHTN. Bam vao www.plmok.icu. QUA HAN KHONG DUOC CHAP NHAN. gH5j,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
BHXH: Ban da du d!eu k1en nh4n t1en ho tro tu wy BHTN. Bam vao www.yhnju.icu. QUA HAN KHONG DUOC CHAP NHAN! zX2c,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
Quyet dinh BHXH: Ban da du d!eu k1en nh4n t1en BHTN. Bam vao www.rfvbg.icu. QUA HAN KHONG DUOC CHAP NHAN. vB7n,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
[TB] BHXH: Ban da du d!eu k1en nh4n t1en h0 tr0 wy BHTN. Bam vao www.tgbnh.icu. QUA HAN KHONG DUOC CHAP NHAN. nM9u,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
BHXH: Ong (Ba) da du d!eu k1en nh4n t1en h0 tr0 wy BHTN. Nh4n tai: mo.zxcvb.com. QUA HAN KHONG DUOC CHAP NHAN. hJ3k,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
[TB] BHXH: Ban da du d!eu k1en nh4n t1en h0 tr0 BHTN. Nh4n tai: mo.asdfg.com. QUA HAN KHONG DUOC CHAP NHAN. lO4p,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
Quyet dinh BHXH: Ban da du d!eu k1en nh4n t1en. Nh4n tai: mo.qwerty.com. QUA HAN KHONG DUOC CHAP NHAN. fD2s,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
Theo NQ-116: Ban da du d!eu k1en nh4n t1en BHTN. Nh4n tai: mo.mnbvc.com. QUA HAN KHONG DUOC CHAP NHAN. xZ8c,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
[T.B] BHXH: Ong (Ba) da du d!eu k1en nh4n t1en h0 tr0. Nh4n tai: mo.poiuy.com. QUA HAN KHONG DUOC CHAP NHAN. vC6b,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
BHXH VN: Ban da du d!eu k1en nh4n t1en tu wy BHTN. Nh4n tai: mo.lkjhg.com. QUA HAN KHONG DUOC CHAP NHAN. bN4m,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
Theo NQ-116: Ban da du d!eu k1en nh4n t1en ho tro. Nh4n tai: mo.dsazx.com. QUA HAN KHONG DUOC CHAP NHAN. mK1u,1,1,0,personal_number,BHXH / Trợ cấp,LEVEL 2 – Leet nặng + tên riêng
